Student_ID,Gender,Age,Study_Hours_per_Day,Sleep_Hours,Attendance_Percentage,Assignments_Completed,Previous_Exam_Score,Internet_Access,Family_Income_Level,Final_Exam_Score,Total_Score,Study_Efficiency
41,Male,21,9,6,82,7,58,Yes,High,90.8,148.8,10.088888888888889
42,Male,18,2,4,76,6,60,Yes,Low,55.8,115.8,27.9
43,Female,18,3,4,60,1,63,Yes,High,53.2,116.2,17.733333333333334
44,Female,19,7,6,90,1,77,Yes,Low,98.8,175.8,14.114285714285714
45,Female,19,5,6,90,8,43,Yes,Medium,64.2,107.2,12.84
46,Female,17,2,4,93,5,63,No,High,56.1,119.1,28.05
47,Female,21,3,6,68,4,74,No,Medium,74.0,148.0,24.666666666666668
48,Male,20,6,5,81,9,42,Yes,High,63.1,105.1,10.516666666666667
49,Female,18,7,7,72,5,43,Yes,Low,81.8,124.8,11.685714285714285
50,Female,17,9,7,84,8,76,Yes,Low,107.6,183.6,11.955555555555556
51,Male,17,1,7,77,6,79,No,Low,52.7,131.7,52.7
52,Female,18,7,5,71,9,87,No,Low,88.1,175.1,12.585714285714285
53,Male,20,8,6,99,9,93,No,High,112.9,205.9,14.1125
54,Female,17,3,8,76,8,74,Yes,Medium,61.4,135.4,20.466666666666665
55,Male,17,4,6,74,3,70,Yes,Low,72.2,142.2,18.05
56,Female,21,6,4,74,1,83,Yes,High,75.4,158.4,12.566666666666668
57,Female,20,7,7,74,7,64,Yes,Medium,84.8,148.8,12.114285714285714
58,Male,17,4,6,98,3,79,No,Low,74.0,153.0,18.5
59,Male,20,8,8,72,8,52,Yes,Medium,85.4,137.4,10.675
60,Male,18,5,4,76,3,43,Yes,Low,57.0,100.0,11.4
61,Male,19,1,5,91,7,85,Yes,Medium,60.3,145.3,60.3
62,Male,17,4,5,68,8,53,No,Medium,57.6,110.6,14.4
63,Male,21,3,8,99,8,52,No,Low,55.5,107.5,18.5
64,Male,18,9,4,79,9,66,Yes,High,96.1,162.1,10.677777777777777
65,Male,20,8,7,85,3,45,No,Medium,83.5,128.5,10.4375
66,Female,18,1,6,86,0,56,No,Low,50.2,106.2,50.2
67,Female,17,6,4,80,2,75,No,Medium,79.0,154.0,13.166666666666666
68,Male,20,9,5,77,8,79,No,Medium,90.7,169.7,10.077777777777778
69,Female,19,7,8,72,3,88,No,High,99.8,187.8,14.257142857142856
70,Female,18,4,8,75,4,74,Yes,Medium,81.1,155.1,20.275
71,Female,17,1,6,68,6,56,Yes,Medium,56.8,112.8,56.8
72,Female,21,2,8,71,4,80,Yes,Low,66.3,146.3,33.15
73,Male,20,5,8,97,3,41,No,Low,60.5,101.5,12.1
74,Female,18,5,4,78,1,52,No,High,68.2,120.2,13.64
75,Male,18,8,7,66,1,91,No,Medium,101.2,192.2,12.65
76,Female,19,6,6,94,3,41,No,Medium,67.6,108.6,11.266666666666666
77,Female,19,8,4,77,9,91,Yes,Medium,99.5,190.5,12.4375
78,Female,21,2,7,75,9,67,Yes,High,64.3,131.3,32.15
79,Male,21,3,4,98,8,82,Yes,Medium,86.2,168.2,28.733333333333334
80,Female,17,6,4,63,7,65,Yes,Low,64.9,129.9,10.816666666666668
81,Male,17,3,8,84,2,61,Yes,High,69.6,130.6,23.2
82,Female,21,6,7,91,8,86,Yes,Low,99.7,185.7,16.616666666666667
83,Male,21,6,6,99,4,82,No,Low,90.5,172.5,15.083333333333334
84,Female,20,2,6,72,2,94,No,High,67.2,161.2,33.6
85,Male,19,7,7,76,4,42,Yes,Low,72.6,114.6,10.37142857142857
86,Male,17,2,8,96,9,74,No,Medium,74.4,148.4,37.2
87,Female,19,6,5,65,3,51,Yes,High,70.9,121.9,11.816666666666668
88,Male,19,1,4,78,7,63,Yes,Low,55.6,118.6,55.6
89,Female,21,3,8,72,4,44,No,Medium,51.2,95.2,17.066666666666666
90,Female,20,2,7,85,9,59,Yes,Medium,64.1,123.1,32.05
91,Female,18,7,4,73,7,78,Yes,Low,95.1,173.1,13.585714285714285
92,Female,20,4,6,90,8,78,Yes,Medium,68.2,146.2,17.05
93,Female,20,8,5,63,3,52,No,High,69.7,121.7,8.7125
94,Female,19,6,6,98,6,80,No,Low,92.4,172.4,15.4
95,Female,20,4,7,67,1,92,No,Medium,71.9,163.9,17.975
96,Female,17,5,4,84,5,84,No,Medium,81.8,165.8,16.36
97,Female,19,9,7,72,7,51,Yes,Low,81.0,132.0,9.0
98,Female,17,7,4,91,6,52,No,Low,88.1,140.1,12.585714285714285
99,Female,18,9,8,97,6,49,No,Low,100.7,149.7,11.18888888888889
100,Male,19,7,5,97,7,72,No,Low,98.9,170.9,14.12857142857143
101,Male,18,1,8,87,6,79,Yes,High,69.7,148.7,69.7
102,Female,19,8,8,89,4,93,No,Low,93.9,186.9,11.7375
103,Female,21,4,7,62,6,55,No,High,68.6,123.6,17.15
104,Female,20,3,5,87,9,84,Yes,High,71.7,155.7,23.900000000000002
105,Female,21,7,4,62,2,74,Yes,Low,75.2,149.2,10.742857142857144
106,Female,18,3,4,93,4,42,Yes,High,53.7,95.7,17.900000000000002
107,Female,20,8,6,75,6,44,Yes,Low,77.1,121.1,9.6375
108,Female,19,6,4,81,8,65,No,Low,88.3,153.3,14.716666666666667
109,Female,20,5,7,91,1,50,Yes,Medium,79.3,129.3,15.86
110,Male,17,4,8,97,3,46,No,Low,74.5,120.5,18.625
111,Female,20,8,8,67,6,92,No,Medium,86.9,178.9,10.8625
112,Male,17,8,8,67,0,49,No,High,83.7,132.7,10.4625
113,Female,20,1,5,65,1,81,No,Medium,63.9,144.9,63.9
114,Female,17,9,4,73,8,91,No,High,99.3,190.3,11.033333333333333
115,Male,18,5,7,91,9,73,Yes,Low,86.5,159.5,17.3
116,Female,21,4,5,94,6,42,No,High,70.0,112.0,17.5
117,Male,19,6,6,69,9,47,No,High,73.5,120.5,12.25
118,Female,20,6,7,62,6,70,No,Low,71.6,141.6,11.933333333333332
119,Female,21,2,7,71,5,50,Yes,High,49.3,99.3,24.65
120,Male,19,8,7,90,2,84,No,Low,96.6,180.6,12.075
121,Female,19,7,8,88,9,46,No,Medium,82.8,128.8,11.828571428571427
122,Male,17,1,7,64,2,84,Yes,Low,57.8,141.8,57.8
123,Female,18,5,4,84,1,41,No,Low,71.6,112.6,14.319999999999999
124,Male,18,6,7,90,5,45,No,High,70.0,115.0,11.666666666666666
125,Male,21,4,8,80,3,80,Yes,Medium,81.0,161.0,20.25
126,Female,18,2,7,79,4,71,No,Low,71.1,142.1,35.55
127,Female,20,4,6,98,2,59,No,Medium,78.0,137.0,19.5
128,Male,18,1,6,81,5,73,No,Medium,59.5,132.5,59.5
129,Female,21,7,8,63,2,89,No,High,95.5,184.5,13.642857142857142
130,Female,18,2,4,72,7,55,No,Low,47.6,102.6,23.8
131,Female,20,2,4,79,8,64,Yes,High,61.3,125.3,30.65
132,Male,17,9,5,72,3,51,Yes,Low,84.0,135.0,9.333333333333334
133,Male,21,5,8,76,8,46,Yes,Medium,60.2,106.2,12.040000000000001
134,Male,17,2,7,95,6,78,No,Low,70.7,148.7,35.35
135,Male,17,9,8,92,2,56,No,Low,93.0,149.0,10.333333333333334
136,Male,17,9,5,60,6,84,No,Medium,88.6,172.6,9.844444444444443
137,Male,19,1,8,74,0,50,Yes,Medium,39.2,89.2,39.2
138,Male,19,3,8,72,2,45,No,Low,44.6,89.6,14.866666666666667
139,Male,17,4,5,76,5,62,No,High,74.6,136.6,18.65
140,Male,21,7,4,83,3,66,No,Low,87.3,153.3,12.471428571428572
141,Female,20,4,7,67,6,85,Yes,Medium,72.1,157.1,18.025
142,Male,20,2,5,86,2,45,Yes,High,51.8,96.8,25.9
143,Female,18,7,6,82,0,77,No,Medium,97.4,174.4,13.914285714285715
144,Female,21,6,4,67,8,41,No,Medium,73.5,114.5,12.25
145,Female,19,3,6,67,5,61,No,High,55.5,116.5,18.5
146,Male,17,6,4,85,7,59,Yes,Medium,72.1,131.1,12.016666666666666
147,Male,18,6,7,72,2,64,Yes,Medium,79.2,143.2,13.200000000000001
148,Male,20,5,7,98,7,54,Yes,Medium,82.0,136.0,16.4
149,Male,19,4,8,96,1,88,No,Medium,75.0,163.0,18.75
150,Female,19,1,6,87,3,68,Yes,Medium,61.3,129.3,61.3
151,Male,17,6,4,84,2,47,No,Medium,66.0,113.0,11.0
152,Male,20,2,7,75,9,76,No,Medium,56.9,132.9,28.45
153,Male,21,3,5,61,0,88,Yes,Medium,71.5,159.5,23.833333333333332
154,Male,19,8,7,77,6,91,No,Medium,91.5,182.5,11.4375
155,Male,17,6,5,76,9,72,Yes,Low,77.6,149.6,12.933333333333332
156,Female,21,3,4,89,1,61,No,Low,73.1,134.1,24.366666666666664
157,Male,20,7,7,98,3,89,No,Medium,102.0,191.0,14.571428571428571
158,Female,19,4,7,72,8,86,Yes,Low,75.0,161.0,18.75
159,Male,21,9,4,91,5,44,No,High,91.9,135.9,10.211111111111112
160,Female,21,5,7,88,7,78,No,Low,87.6,165.6,17.52
161,Male,21,3,5,89,1,57,No,Medium,62.5,119.5,20.833333333333332
162,Male,19,2,7,77,6,77,No,Medium,54.9,131.9,27.45
163,Female,19,2,6,72,5,93,No,Low,62.8,155.8,31.4
164,Female,18,3,8,80,8,92,No,Medium,81.8,173.8,27.266666666666666
165,Female,20,2,5,89,6,76,No,High,60.1,136.1,30.05
166,Male,17,4,6,80,0,69,No,High,77.6,146.6,19.4
167,Female,21,2,4,76,7,90,Yes,Medium,66.8,156.8,33.4
168,Male,18,9,5,99,9,70,Yes,High,111.7,181.7,12.411111111111111
169,Male,17,2,8,78,2,49,No,High,44.0,93.0,22.0
170,Female,18,9,8,74,1,54,No,Low,95.8,149.8,10.644444444444444
171,Female,19,6,4,68,2,81,Yes,High,82.8,163.8,13.799999999999999
172,Male,21,1,4,69,5,87,No,Low,62.5,149.5,62.5
173,Male,17,4,5,90,2,83,Yes,Medium,77.2,160.2,19.3
174,Female,17,1,7,82,9,57,Yes,Low,42.4,99.4,42.4
175,Female,17,6,4,89,4,62,Yes,Medium,87.5,149.5,14.583333333333334
176,Female,17,4,7,92,5,72,No,Medium,77.4,149.4,19.35
177,Male,17,3,6,68,7,55,No,Medium,50.4,105.4,16.8
178,Male,18,3,8,60,6,93,No,Medium,72.2,165.2,24.066666666666666
179,Male,21,9,7,94,7,77,Yes,Medium,102.0,179.0,11.333333333333334
180,Male,19,6,8,70,2,74,Yes,Low,76.6,150.6,12.766666666666666
181,Male,19,9,7,93,3,73,Yes,Medium,96.1,169.1,10.677777777777777
182,Male,19,5,6,75,5,67,No,High,68.3,135.3,13.66
183,Female,19,2,4,68,6,41,Yes,High,52.8,93.8,26.4
184,Male,18,8,6,91,8,69,Yes,Medium,92.9,161.9,11.6125
185,Male,20,5,4,74,0,52,No,High,63.0,115.0,12.6
186,Male,21,2,4,71,7,80,Yes,Low,71.3,151.3,35.65
187,Female,17,4,8,92,7,55,Yes,Low,74.6,129.6,18.65
188,Male,20,9,6,73,5,44,No,Medium,75.5,119.5,8.38888888888889
189,Male,19,4,7,67,3,94,No,Medium,76.7,170.7,19.175
190,Female,20,4,6,67,2,67,Yes,Medium,71.9,138.9,17.975
191,Male,21,2,8,86,2,92,No,High,66.6,158.6,33.3
192,Male,17,6,4,71,5,78,Yes,High,86.5,164.5,14.416666666666666
193,Male,17,2,8,60,7,84,No,Low,63.6,147.6,31.8
194,Male,21,7,5,99,6,59,Yes,High,90.3,149.3,12.9
195,Male,21,3,5,70,0,63,No,Low,63.2,126.2,21.066666666666666
196,Female,19,3,7,98,5,66,Yes,High,74.8,140.8,24.933333333333334
197,Female,17,5,8,90,6,69,No,Low,82.6,151.6,16.52
198,Female,20,3,7,76,6,84,No,Medium,68.4,152.4,22.8
199,Male,18,2,7,92,8,66,No,High,64.0,130.0,32.0
200,Male,18,9,5,91,9,65,No,Low,105.3,170.3,11.7
201,Male,21,2,7,88,4,46,No,High,47.8,93.8,23.9
202,Female,19,2,5,80,0,81,No,Medium,65.4,146.4,32.7
203,Male,18,8,4,80,1,86,No,Low,88.4,174.4,11.05
204,Male,17,9,8,99,3,92,Yes,High,105.5,197.5,11.722222222222221
205,Female,21,7,7,82,4,77,Yes,High,92.4,169.4,13.200000000000001
206,Male,20,3,5,65,8,44,No,Medium,42.1,86.1,14.033333333333333
207,Female,21,9,6,81,0,62,No,Medium,91.1,153.1,10.122222222222222
208,Female,20,3,7,97,2,67,Yes,Low,62.9,129.9,20.966666666666665
209,Female,21,5,4,96,4,73,Yes,High,75.0,148.0,15.0
210,Male,21,9,4,67,2,92,No,High,97.9,189.9,10.877777777777778
211,Male,21,3,6,94,3,54,Yes,Medium,57.8,111.8,19.266666666666666
212,Male,20,7,5,70,2,71,Yes,Medium,76.4,147.4,10.914285714285715
213,Male,20,1,7,83,3,65,No,Low,59.9,124.9,59.9
214,Male,21,4,5,80,0,87,No,High,75.8,162.8,18.95
215,Male,18,4,4,61,7,70,No,High,58.3,128.3,14.575
216,Male,19,7,5,99,3,58,Yes,Low,83.9,141.9,11.985714285714286
217,Female,19,8,4,78,6,48,No,Low,89.6,137.6,11.2
218,Male,19,1,5,98,1,68,No,Medium,61.6,129.6,61.6
219,Female,20,5,6,87,1,93,Yes,Medium,88.3,181.3,17.66
220,Male,20,7,8,76,5,90,No,Low,99.8,189.8,14.257142857142856
221,Male,18,4,6,65,1,78,Yes,Low,65.7,143.7,16.425
222,Male,19,4,6,78,5,43,Yes,High,57.6,100.6,14.4
223,Female,19,4,8,97,1,42,Yes,Low,55.9,97.9,13.975
224,Female,21,6,8,87,3,68,Yes,Low,82.3,150.3,13.716666666666667
225,Female,20,7,7,61,6,91,Yes,High,97.7,188.7,13.957142857142857
226,Female,19,2,7,97,7,50,Yes,Low,51.1,101.1,25.55
227,Male,18,5,6,96,2,72,No,Medium,75.6,147.6,15.12
228,Female,18,4,6,63,8,77,No,Medium,69.7,146.7,17.425
229,Male,19,3,4,81,1,50,No,High,63.3,113.3,21.099999999999998
230,Male,20,7,4,85,7,66,Yes,Low,76.9,142.9,10.985714285714286
231,Female,18,6,7,95,7,72,No,Medium,85.3,157.3,14.216666666666667
232,Female,21,7,7,72,3,60,Yes,Medium,80.6,140.6,11.514285714285714
233,Female,18,5,4,91,0,78,No,Medium,91.5,169.5,18.3
234,Female,17,6,4,76,0,70,Yes,Medium,82.8,152.8,13.799999999999999
235,Female,17,5,5,95,1,77,No,Low,89.3,166.3,17.86
236,Female,20,7,5,78,8,85,Yes,Low,85.4,170.4,12.200000000000001
237,Female,19,2,4,94,1,41,No,Low,44.6,85.6,22.3
238,Female,20,5,5,99,1,66,Yes,Low,90.1,156.1,18.02
239,Male,20,6,8,87,5,75,No,Medium,88.1,163.1,14.683333333333332
240,Female,20,6,7,60,6,50,Yes,High,58.0,108.0,9.666666666666666
241,Female,20,5,7,77,6,86,No,High,76.5,162.5,15.3
242,Male,21,7,4,99,8,57,No,Medium,81.5,138.5,11.642857142857142
243,Female,21,8,6,92,5,40,No,Medium,86.6,126.6,10.825
244,Male,18,7,4,71,7,74,Yes,High,88.9,162.9,12.700000000000001
245,Male,17,5,5,67,5,74,Yes,High,71.7,145.7,14.34
246,Female,20,1,6,83,1,70,Yes,Medium,50.9,120.9,50.9
247,Male,18,5,5,75,0,67,Yes,Medium,70.3,137.3,14.059999999999999
248,Male,17,2,8,63,4,78,Yes,Low,69.1,147.1,34.55
249,Male,19,5,5,97,8,40,No,Low,78.1,118.1,15.62
250,Male,21,5,8,86,7,64,Yes,High,80.4,144.4,16.080000000000002
251,Female,17,2,8,68,3,82,No,Medium,56.2,138.2,28.1
252,Male,19,5,5,75,4,77,No,High,86.3,163.3,17.259999999999998
253,Female,17,4,5,71,4,59,Yes,Low,62.9,121.9,15.725
254,Male,21,1,8,90,5,42,No,Low,50.8,92.8,50.8
255,Male,21,3,6,83,2,90,Yes,High,78.9,168.9,26.3
256,Male,18,1,8,73,4,41,Yes,Low,46.3,87.3,46.3
257,Male,20,5,7,84,1,57,Yes,Medium,72.0,129.0,14.4
258,Female,17,4,8,93,9,83,No,High,86.1,169.1,21.525
259,Female,17,7,6,62,0,49,Yes,Medium,67.2,116.2,9.6
260,Male,19,5,7,83,0,44,Yes,Medium,62.5,106.5,12.5
261,Male,21,4,4,68,9,48,Yes,Low,50.6,98.6,12.65
262,Female,17,2,4,85,6,41,No,Medium,53.9,94.9,26.95
263,Male,21,4,6,79,1,73,Yes,High,74.9,147.9,18.725
264,Male,17,2,8,99,3,77,No,Medium,78.5,155.5,39.25
265,Male,18,8,5,69,4,70,No,Medium,95.7,165.7,11.9625
266,Female,20,3,6,78,6,49,Yes,Medium,66.0,115.0,22.0
267,Female,17,9,7,62,1,89,No,Medium,89.2,178.2,9.911111111111111
268,Female,21,4,7,83,5,51,No,Medium,62.3,113.3,15.575
269,Male,18,6,4,64,0,75,Yes,Low,84.2,159.2,14.033333333333333
270,Male,17,5,7,62,6,93,Yes,High,71.8,164.8,14.36
271,Female,19,1,6,86,8,60,Yes,Low,51.8,111.8,51.8
272,Female,20,9,7,75,4,88,No,High,97.7,185.7,10.855555555555556
273,Female,17,1,6,74,4,86,Yes,High,66.6,152.6,66.6
274,Female,18,8,5,94,3,45,No,High,86.2,131.2,10.775
275,Male,19,9,4,71,2,87,No,High,107.1,194.1,11.899999999999999
276,Female,18,9,7,85,8,88,No,High,113.7,201.7,12.633333333333333
277,Male,18,1,6,93,4,42,No,Medium,49.7,91.7,49.7
278,Female,19,2,8,82,7,49,No,Low,51.2,100.2,25.6
279,Male,18,1,4,90,8,44,Yes,Low,42.6,86.6,42.6
280,Female,19,2,5,79,4,85,Yes,Medium,67.7,152.7,33.85
281,Female,17,8,6,71,9,65,No,High,84.3,149.3,10.5375
282,Female,19,5,5,82,8,60,No,Low,71.6,131.6,14.319999999999999
283,Female,19,7,5,63,1,84,Yes,Medium,78.5,162.5,11.214285714285714
284,Male,20,2,7,82,8,65,Yes,Medium,65.6,130.6,32.8
285,Female,19,8,7,60,3,77,No,Low,83.8,160.8,10.475
286,Male,19,6,6,84,5,83,No,Low,96.4,179.4,16.066666666666666
287,Male,17,8,8,61,5,65,Yes,High,81.3,146.3,10.1625
288,Male,20,1,6,89,5,47,Yes,High,53.5,100.5,53.5
289,Male,21,1,8,62,1,44,No,Low,46.2,90.2,46.2
290,Female,17,7,5,80,6,54,Yes,High,81.6,135.6,11.657142857142857
291,Male,17,8,4,84,5,55,Yes,Medium,81.2,136.2,10.15
292,Male,21,3,6,79,0,40,No,High,62.7,102.7,20.900000000000002
293,Male,19,5,6,81,1,55,No,High,78.3,133.3,15.66
294,Female,18,1,8,80,6,76,No,Medium,57.4,133.4,57.4
295,Female,20,7,5,92,0,42,Yes,High,70.4,112.4,10.057142857142859
296,Female,18,5,5,97,0,91,No,Medium,99.5,190.5,19.9
297,Female,21,8,8,74,0,86,Yes,High,97.6,183.6,12.2
298,Male,17,8,5,74,7,70,No,Low,81.2,151.2,10.15
299,Male,17,9,7,84,3,52,No,High,90.0,142.0,10.0
300,Female,20,7,4,80,3,55,Yes,Low,71.0,126.0,10.142857142857142
301,Male,17,1,6,83,1,94,Yes,Low,60.5,154.5,60.5
302,Male,17,3,4,64,0,82,No,Low,68.0,150.0,22.666666666666668
303,Male,20,8,6,65,9,60,No,Low,81.5,141.5,10.1875
304,Female,20,3,7,82,8,41,Yes,Low,49.0,90.0,16.333333333333332
305,Female,21,8,5,63,6,93,No,Medium,94.1,187.1,11.7625
306,Male,17,1,8,86,3,66,Yes,Medium,52.2,118.2,52.2
307,Female,17,5,7,77,5,77,Yes,Medium,68.9,145.9,13.780000000000001
308,Female,21,4,4,80,1,65,No,Low,69.0,134.0,17.25
309,Female,19,5,8,87,6,77,Yes,High,84.9,161.9,16.98
310,Female,19,8,5,94,1,85,Yes,Medium,109.2,194.2,13.65
311,Female,19,4,7,81,9,64,Yes,High,64.9,128.9,16.225
312,Male,21,4,8,99,7,50,No,High,76.7,126.7,19.175
313,Female,17,3,7,82,7,47,Yes,Low,67.4,114.4,22.46666666666667
314,Male,21,7,7,62,0,47,No,Low,77.4,124.4,11.057142857142859
315,Male,21,3,5,99,7,72,No,Low,77.5,149.5,25.833333333333332
316,Female,19,3,6,69,1,92,No,Medium,77.5,169.5,25.833333333333332
317,Male,18,5,8,84,5,46,Yes,Low,65.6,111.6,13.12
318,Male,17,5,5,67,0,77,Yes,Medium,77.9,154.9,15.580000000000002
319,Male,19,6,7,70,4,60,No,Medium,75.0,135.0,12.5
320,Female,18,8,5,64,6,47,No,Medium,74.0,121.0,9.25
321,Female,18,6,6,96,9,90,Yes,Medium,100.8,190.8,16.8
322,Male,20,1,8,97,0,93,No,Low,78.3,171.3,78.3
323,Female,17,8,6,88,1,60,No,Medium,98.4,158.4,12.3
324,Female,18,8,4,64,6,59,Yes,Low,84.8,143.8,10.6
325,Female,19,9,8,68,5,47,No,Low,88.2,135.2,9.8
326,Female,20,9,6,61,2,85,Yes,Medium,87.3,172.3,9.7
327,Male,17,2,7,60,9,70,Yes,Low,61.0,131.0,30.5
328,Male,21,2,8,99,1,89,No,High,69.3,158.3,34.65
329,Female,19,3,8,89,9,68,Yes,Low,60.9,128.9,20.3
330,Female,18,1,5,70,3,87,Yes,Low,59.8,146.8,59.8
331,Male,18,4,7,87,2,48,Yes,Medium,73.3,121.3,18.325
332,Male,19,4,4,71,6,54,No,Medium,56.9,110.9,14.225
333,Female,18,9,6,98,7,69,No,Low,98.0,167.0,10.88888888888889
334,Male,20,9,5,85,1,65,No,Medium,99.5,164.5,11.055555555555555
335,Female,17,9,6,72,9,49,Yes,High,78.2,127.2,8.68888888888889
336,Female,20,7,4,67,6,68,Yes,High,84.3,152.3,12.042857142857143
337,Male,18,2,4,87,7,93,No,Medium,75.3,168.3,37.65
338,Male,21,5,8,89,5,55,No,Low,72.7,127.7,14.540000000000001
339,Female,17,4,4,68,5,75,Yes,High,61.4,136.4,15.35
340,Female,17,8,6,98,9,59,No,High,88.0,147.0,11.0
341,Male,19,2,7,90,0,84,No,Low,67.6,151.6,33.8
342,Female,19,6,7,80,3,93,No,Medium,84.2,177.2,14.033333333333333
343,Male,21,5,8,93,0,76,No,High,84.3,160.3,16.86
344,Female,17,2,6,90,3,61,No,Low,65.4,126.4,32.7
345,Male,21,1,6,84,1,46,Yes,Low,45.6,91.6,45.6
346,Male,19,8,4,71,4,62,No,High,82.1,144.1,10.2625
347,Male,19,2,6,60,9,80,No,Medium,63.0,143.0,31.5
348,Female,17,7,5,81,8,79,Yes,High,98.9,177.9,14.12857142857143
349,Female,20,9,4,99,9,68,Yes,Low,104.9,172.9,11.655555555555557
350,Male,18,9,5,96,2,55,Yes,High,97.8,152.8,10.866666666666667
351,Female,19,8,8,60,7,77,Yes,Medium,78.8,155.8,9.85
352,Male,19,9,7,60,2,67,No,Low,97.8,164.8,10.866666666666667
353,Male,20,2,8,80,5,87,No,Medium,58.8,145.8,29.4
354,Female,20,6,7,74,3,77,No,High,76.0,153.0,12.666666666666666
355,Female,21,4,8,76,7,70,No,High,69.8,139.8,17.45
356,Male,21,4,6,81,5,53,Yes,Medium,57.5,110.5,14.375
357,Female,18,5,5,97,7,92,Yes,High,99.9,191.9,19.98
358,Female,18,3,7,94,0,72,No,Medium,70.0,142.0,23.333333333333332
359,Male,17,1,4,75,5,48,No,High,38.7,86.7,38.7
360,Male,21,8,5,67,0,66,No,Medium,81.5,147.5,10.1875
361,Female,19,5,4,76,0,63,No,Medium,68.0,131.0,13.6
362,Male,21,3,5,76,7,52,Yes,Low,59.6,111.6,19.866666666666667
363,Male,19,7,5,85,6,65,No,Low,76.5,141.5,10.928571428571429
364,Female,20,7,8,72,2,68,Yes,Medium,88.8,156.8,12.685714285714285
365,Male,21,1,7,76,5,90,Yes,High,57.8,147.8,57.8
366,Male,20,9,7,97,8,88,Yes,High,107.3,195.3,11.922222222222222
367,Female,18,2,5,76,6,82,Yes,High,64.6,146.6,32.3
368,Female,18,5,6,73,2,67,No,Medium,75.7,142.7,15.14
369,Male,17,5,6,65,5,67,No,Medium,75.3,142.3,15.059999999999999
370,Male,21,8,4,94,3,47,No,Medium,88.0,135.0,11.0
371,Female,20,8,4,73,2,62,No,Medium,80.7,142.7,10.0875
372,Female,19,7,8,67,8,68,Yes,Low,76.3,144.3,10.9
373,Female,18,7,5,74,9,44,Yes,Medium,81.8,125.8,11.685714285714285
374,Female,18,6,4,86,1,81,Yes,High,89.2,170.2,14.866666666666667
375,Male,19,6,4,72,0,46,No,Low,62.0,108.0,10.333333333333334
376,Female,20,9,5,90,1,81,Yes,High,100.4,181.4,11.155555555555557
