Student_ID,Gender,Age,Study_Hours_per_Day,Sleep_Hours,Attendance_Percentage,Assignments_Completed,Previous_Exam_Score,Internet_Access,Family_Income_Level,Final_Exam_Score,Study_Efficiency,Score_Improvement,Performance_Category
27,Female,17,5,4,83,8,43,No,Medium,67.1,13.419999999999998,24.099999999999994,Medium
28,Female,19,1,4,82,1,49,No,Low,39.2,39.2,-9.799999999999997,Low
29,Female,21,3,5,81,2,78,Yes,Low,66.5,22.166666666666668,-11.5,Medium
30,Female,20,2,8,61,6,63,No,High,62.5,31.25,-0.5,Medium
31,Male,18,1,5,90,2,56,Yes,High,51.4,51.4,-4.600000000000001,Low
32,Male,20,7,5,70,8,91,Yes,High,91.4,13.057142857142859,0.4000000000000057,High
33,Female,18,5,4,87,5,45,Yes,Low,63.1,12.620000000000001,18.1,Medium
34,Female,21,1,5,91,2,58,No,Low,53.5,53.5,-4.5,Low
35,Female,18,6,4,64,8,44,Yes,Low,56.8,9.466666666666667,12.799999999999997,Low
36,Male,19,5,8,97,0,71,No,Medium,73.5,14.7,2.5,Medium
37,Female,19,3,7,69,9,49,No,Medium,63.3,21.099999999999998,14.299999999999997,Medium
38,Male,19,7,4,99,2,48,No,Low,86.9,12.414285714285715,38.900000000000006,High
39,Male,19,9,8,83,0,66,No,High,105.3,11.7,39.3,High
40,Male,20,9,7,94,1,52,No,High,93.0,10.333333333333334,41.0,High
41,Male,21,9,6,82,7,58,Yes,High,90.8,10.088888888888889,32.8,High
42,Male,18,2,4,76,6,60,Yes,Low,55.8,27.9,-4.200000000000003,Low
43,Female,18,3,4,60,1,63,Yes,High,53.2,17.733333333333334,-9.799999999999997,Low
44,Female,19,7,6,90,1,77,Yes,Low,98.8,14.114285714285714,21.799999999999997,High
45,Female,19,5,6,90,8,43,Yes,Medium,64.2,12.84,21.200000000000003,Medium
46,Female,17,2,4,93,5,63,No,High,56.1,28.05,-6.899999999999999,Low
47,Female,21,3,6,68,4,74,No,Medium,74.0,24.666666666666668,0.0,Medium
48,Male,20,6,5,81,9,42,Yes,High,63.1,10.516666666666667,21.1,Medium
49,Female,18,7,7,72,5,43,Yes,Low,81.8,11.685714285714285,38.8,Medium
50,Female,17,9,7,84,8,76,Yes,Low,107.6,11.955555555555556,31.599999999999994,High
51,Male,17,1,7,77,6,79,No,Low,52.7,52.7,-26.299999999999997,Low
52,Female,18,7,5,71,9,87,No,Low,88.1,12.585714285714285,1.0999999999999943,High
53,Male,20,8,6,99,9,93,No,High,112.9,14.1125,19.900000000000006,High
54,Female,17,3,8,76,8,74,Yes,Medium,61.4,20.466666666666665,-12.600000000000001,Medium
55,Male,17,4,6,74,3,70,Yes,Low,72.2,18.05,2.200000000000003,Medium
56,Female,21,6,4,74,1,83,Yes,High,75.4,12.566666666666668,-7.599999999999994,Medium
57,Female,20,7,7,74,7,64,Yes,Medium,84.8,12.114285714285714,20.799999999999997,Medium
58,Male,17,4,6,98,3,79,No,Low,74.0,18.5,-5.0,Medium
59,Male,20,8,8,72,8,52,Yes,Medium,85.4,10.675,33.400000000000006,High
60,Male,18,5,4,76,3,43,Yes,Low,57.0,11.4,14.0,Low
61,Male,19,1,5,91,7,85,Yes,Medium,60.3,60.3,-24.700000000000003,Medium
62,Male,17,4,5,68,8,53,No,Medium,57.6,14.4,4.600000000000001,Low
63,Male,21,3,8,99,8,52,No,Low,55.5,18.5,3.5,Low
64,Male,18,9,4,79,9,66,Yes,High,96.1,10.677777777777777,30.099999999999994,High
65,Male,20,8,7,85,3,45,No,Medium,83.5,10.4375,38.5,Medium
66,Female,18,1,6,86,0,56,No,Low,50.2,50.2,-5.799999999999997,Low
67,Female,17,6,4,80,2,75,No,Medium,79.0,13.166666666666666,4.0,Medium
68,Male,20,9,5,77,8,79,No,Medium,90.7,10.077777777777778,11.700000000000003,High
69,Female,19,7,8,72,3,88,No,High,99.8,14.257142857142856,11.799999999999997,High
70,Female,18,4,8,75,4,74,Yes,Medium,81.1,20.275,7.099999999999994,Medium
71,Female,17,1,6,68,6,56,Yes,Medium,56.8,56.8,0.7999999999999972,Low
72,Female,21,2,8,71,4,80,Yes,Low,66.3,33.15,-13.700000000000003,Medium
73,Male,20,5,8,97,3,41,No,Low,60.5,12.1,19.5,Medium
74,Female,18,5,4,78,1,52,No,High,68.2,13.64,16.200000000000003,Medium
75,Male,18,8,7,66,1,91,No,Medium,101.2,12.65,10.200000000000003,High
76,Female,19,6,6,94,3,41,No,Medium,67.6,11.266666666666666,26.599999999999994,Medium
77,Female,19,8,4,77,9,91,Yes,Medium,99.5,12.4375,8.5,High
78,Female,21,2,7,75,9,67,Yes,High,64.3,32.15,-2.700000000000003,Medium
79,Male,21,3,4,98,8,82,Yes,Medium,86.2,28.733333333333334,4.200000000000003,High
80,Female,17,6,4,63,7,65,Yes,Low,64.9,10.816666666666668,-0.09999999999999432,Medium
81,Male,17,3,8,84,2,61,Yes,High,69.6,23.2,8.599999999999994,Medium
82,Female,21,6,7,91,8,86,Yes,Low,99.7,16.616666666666667,13.700000000000003,High
83,Male,21,6,6,99,4,82,No,Low,90.5,15.083333333333334,8.5,High
84,Female,20,2,6,72,2,94,No,High,67.2,33.6,-26.799999999999997,Medium
85,Male,19,7,7,76,4,42,Yes,Low,72.6,10.37142857142857,30.599999999999994,Medium
86,Male,17,2,8,96,9,74,No,Medium,74.4,37.2,0.4000000000000057,Medium
87,Female,19,6,5,65,3,51,Yes,High,70.9,11.816666666666668,19.900000000000006,Medium
88,Male,19,1,4,78,7,63,Yes,Low,55.6,55.6,-7.399999999999999,Low
89,Female,21,3,8,72,4,44,No,Medium,51.2,17.066666666666666,7.200000000000003,Low
90,Female,20,2,7,85,9,59,Yes,Medium,64.1,32.05,5.099999999999994,Medium
91,Female,18,7,4,73,7,78,Yes,Low,95.1,13.585714285714285,17.099999999999994,High
92,Female,20,4,6,90,8,78,Yes,Medium,68.2,17.05,-9.799999999999997,Medium
93,Female,20,8,5,63,3,52,No,High,69.7,8.7125,17.700000000000003,Medium
94,Female,19,6,6,98,6,80,No,Low,92.4,15.4,12.400000000000006,High
95,Female,20,4,7,67,1,92,No,Medium,71.9,17.975,-20.099999999999994,Medium
96,Female,17,5,4,84,5,84,No,Medium,81.8,16.36,-2.200000000000003,Medium
97,Female,19,9,7,72,7,51,Yes,Low,81.0,9.0,30.0,Medium
98,Female,17,7,4,91,6,52,No,Low,88.1,12.585714285714285,36.099999999999994,High
99,Female,18,9,8,97,6,49,No,Low,100.7,11.18888888888889,51.7,High
100,Male,19,7,5,97,7,72,No,Low,98.9,14.12857142857143,26.900000000000006,High
101,Male,18,1,8,87,6,79,Yes,High,69.7,69.7,-9.299999999999997,Medium
102,Female,19,8,8,89,4,93,No,Low,93.9,11.7375,0.9000000000000057,High
103,Female,21,4,7,62,6,55,No,High,68.6,17.15,13.599999999999994,Medium
104,Female,20,3,5,87,9,84,Yes,High,71.7,23.900000000000002,-12.299999999999997,Medium
105,Female,21,7,4,62,2,74,Yes,Low,75.2,10.742857142857144,1.2000000000000028,Medium
106,Female,18,3,4,93,4,42,Yes,High,53.7,17.900000000000002,11.700000000000003,Low
107,Female,20,8,6,75,6,44,Yes,Low,77.1,9.6375,33.099999999999994,Medium
108,Female,19,6,4,81,8,65,No,Low,88.3,14.716666666666667,23.299999999999997,High
109,Female,20,5,7,91,1,50,Yes,Medium,79.3,15.86,29.299999999999997,Medium
110,Male,17,4,8,97,3,46,No,Low,74.5,18.625,28.5,Medium
111,Female,20,8,8,67,6,92,No,Medium,86.9,10.8625,-5.099999999999994,High
112,Male,17,8,8,67,0,49,No,High,83.7,10.4625,34.7,Medium
113,Female,20,1,5,65,1,81,No,Medium,63.9,63.9,-17.1,Medium
114,Female,17,9,4,73,8,91,No,High,99.3,11.033333333333333,8.299999999999997,High
115,Male,18,5,7,91,9,73,Yes,Low,86.5,17.3,13.5,High
116,Female,21,4,5,94,6,42,No,High,70.0,17.5,28.0,Medium
117,Male,19,6,6,69,9,47,No,High,73.5,12.25,26.5,Medium
118,Female,20,6,7,62,6,70,No,Low,71.6,11.933333333333332,1.5999999999999943,Medium
119,Female,21,2,7,71,5,50,Yes,High,49.3,24.65,-0.7000000000000028,Low
120,Male,19,8,7,90,2,84,No,Low,96.6,12.075,12.599999999999994,High
121,Female,19,7,8,88,9,46,No,Medium,82.8,11.828571428571427,36.8,Medium
122,Male,17,1,7,64,2,84,Yes,Low,57.8,57.8,-26.200000000000003,Low
123,Female,18,5,4,84,1,41,No,Low,71.6,14.319999999999999,30.599999999999994,Medium
124,Male,18,6,7,90,5,45,No,High,70.0,11.666666666666666,25.0,Medium
125,Male,21,4,8,80,3,80,Yes,Medium,81.0,20.25,1.0,Medium
126,Female,18,2,7,79,4,71,No,Low,71.1,35.55,0.09999999999999432,Medium
127,Female,20,4,6,98,2,59,No,Medium,78.0,19.5,19.0,Medium
128,Male,18,1,6,81,5,73,No,Medium,59.5,59.5,-13.5,Low
129,Female,21,7,8,63,2,89,No,High,95.5,13.642857142857142,6.5,High
130,Female,18,2,4,72,7,55,No,Low,47.6,23.8,-7.399999999999999,Low
131,Female,20,2,4,79,8,64,Yes,High,61.3,30.65,-2.700000000000003,Medium
132,Male,17,9,5,72,3,51,Yes,Low,84.0,9.333333333333334,33.0,Medium
133,Male,21,5,8,76,8,46,Yes,Medium,60.2,12.040000000000001,14.200000000000003,Medium
134,Male,17,2,7,95,6,78,No,Low,70.7,35.35,-7.299999999999997,Medium
135,Male,17,9,8,92,2,56,No,Low,93.0,10.333333333333334,37.0,High
136,Male,17,9,5,60,6,84,No,Medium,88.6,9.844444444444443,4.599999999999994,High
137,Male,19,1,8,74,0,50,Yes,Medium,39.2,39.2,-10.799999999999997,Low
138,Male,19,3,8,72,2,45,No,Low,44.6,14.866666666666667,-0.3999999999999986,Low
139,Male,17,4,5,76,5,62,No,High,74.6,18.65,12.599999999999994,Medium
140,Male,21,7,4,83,3,66,No,Low,87.3,12.471428571428572,21.299999999999997,High
141,Female,20,4,7,67,6,85,Yes,Medium,72.1,18.025,-12.900000000000006,Medium
142,Male,20,2,5,86,2,45,Yes,High,51.8,25.9,6.799999999999997,Low
143,Female,18,7,6,82,0,77,No,Medium,97.4,13.914285714285715,20.400000000000006,High
144,Female,21,6,4,67,8,41,No,Medium,73.5,12.25,32.5,Medium
145,Female,19,3,6,67,5,61,No,High,55.5,18.5,-5.5,Low
146,Male,17,6,4,85,7,59,Yes,Medium,72.1,12.016666666666666,13.099999999999994,Medium
147,Male,18,6,7,72,2,64,Yes,Medium,79.2,13.200000000000001,15.200000000000003,Medium
148,Male,20,5,7,98,7,54,Yes,Medium,82.0,16.4,28.0,Medium
149,Male,19,4,8,96,1,88,No,Medium,75.0,18.75,-13.0,Medium
150,Female,19,1,6,87,3,68,Yes,Medium,61.3,61.3,-6.700000000000003,Medium
151,Male,17,6,4,84,2,47,No,Medium,66.0,11.0,19.0,Medium
152,Male,20,2,7,75,9,76,No,Medium,56.9,28.45,-19.1,Low
153,Male,21,3,5,61,0,88,Yes,Medium,71.5,23.833333333333332,-16.5,Medium
154,Male,19,8,7,77,6,91,No,Medium,91.5,11.4375,0.5,High
155,Male,17,6,5,76,9,72,Yes,Low,77.6,12.933333333333332,5.599999999999994,Medium
156,Female,21,3,4,89,1,61,No,Low,73.1,24.366666666666664,12.099999999999994,Medium
157,Male,20,7,7,98,3,89,No,Medium,102.0,14.571428571428571,13.0,High
158,Female,19,4,7,72,8,86,Yes,Low,75.0,18.75,-11.0,Medium
159,Male,21,9,4,91,5,44,No,High,91.9,10.211111111111112,47.900000000000006,High
160,Female,21,5,7,88,7,78,No,Low,87.6,17.52,9.599999999999994,High
161,Male,21,3,5,89,1,57,No,Medium,62.5,20.833333333333332,5.5,Medium
162,Male,19,2,7,77,6,77,No,Medium,54.9,27.45,-22.1,Low
163,Female,19,2,6,72,5,93,No,Low,62.8,31.4,-30.200000000000003,Medium
164,Female,18,3,8,80,8,92,No,Medium,81.8,27.266666666666666,-10.200000000000003,Medium
165,Female,20,2,5,89,6,76,No,High,60.1,30.05,-15.899999999999999,Medium
166,Male,17,4,6,80,0,69,No,High,77.6,19.4,8.599999999999994,Medium
167,Female,21,2,4,76,7,90,Yes,Medium,66.8,33.4,-23.200000000000003,Medium
168,Male,18,9,5,99,9,70,Yes,High,111.7,12.411111111111111,41.7,High
169,Male,17,2,8,78,2,49,No,High,44.0,22.0,-5.0,Low
170,Female,18,9,8,74,1,54,No,Low,95.8,10.644444444444444,41.8,High
171,Female,19,6,4,68,2,81,Yes,High,82.8,13.799999999999999,1.7999999999999972,Medium
172,Male,21,1,4,69,5,87,No,Low,62.5,62.5,-24.5,Medium
173,Male,17,4,5,90,2,83,Yes,Medium,77.2,19.3,-5.799999999999997,Medium
174,Female,17,1,7,82,9,57,Yes,Low,42.4,42.4,-14.600000000000001,Low
175,Female,17,6,4,89,4,62,Yes,Medium,87.5,14.583333333333334,25.5,High
176,Female,17,4,7,92,5,72,No,Medium,77.4,19.35,5.400000000000006,Medium
177,Male,17,3,6,68,7,55,No,Medium,50.4,16.8,-4.600000000000001,Low
178,Male,18,3,8,60,6,93,No,Medium,72.2,24.066666666666666,-20.799999999999997,Medium
179,Male,21,9,7,94,7,77,Yes,Medium,102.0,11.333333333333334,25.0,High
180,Male,19,6,8,70,2,74,Yes,Low,76.6,12.766666666666666,2.5999999999999943,Medium
181,Male,19,9,7,93,3,73,Yes,Medium,96.1,10.677777777777777,23.099999999999994,High
182,Male,19,5,6,75,5,67,No,High,68.3,13.66,1.2999999999999972,Medium
183,Female,19,2,4,68,6,41,Yes,High,52.8,26.4,11.799999999999997,Low
184,Male,18,8,6,91,8,69,Yes,Medium,92.9,11.6125,23.900000000000006,High
185,Male,20,5,4,74,0,52,No,High,63.0,12.6,11.0,Medium
186,Male,21,2,4,71,7,80,Yes,Low,71.3,35.65,-8.700000000000003,Medium
187,Female,17,4,8,92,7,55,Yes,Low,74.6,18.65,19.599999999999994,Medium
188,Male,20,9,6,73,5,44,No,Medium,75.5,8.38888888888889,31.5,Medium
189,Male,19,4,7,67,3,94,No,Medium,76.7,19.175,-17.299999999999997,Medium
190,Female,20,4,6,67,2,67,Yes,Medium,71.9,17.975,4.900000000000006,Medium
191,Male,21,2,8,86,2,92,No,High,66.6,33.3,-25.400000000000006,Medium
192,Male,17,6,4,71,5,78,Yes,High,86.5,14.416666666666666,8.5,High
193,Male,17,2,8,60,7,84,No,Low,63.6,31.8,-20.4,Medium
194,Male,21,7,5,99,6,59,Yes,High,90.3,12.9,31.299999999999997,High
195,Male,21,3,5,70,0,63,No,Low,63.2,21.066666666666666,0.20000000000000284,Medium
196,Female,19,3,7,98,5,66,Yes,High,74.8,24.933333333333334,8.799999999999997,Medium
197,Female,17,5,8,90,6,69,No,Low,82.6,16.52,13.599999999999994,Medium
198,Female,20,3,7,76,6,84,No,Medium,68.4,22.8,-15.599999999999994,Medium
199,Male,18,2,7,92,8,66,No,High,64.0,32.0,-2.0,Medium
200,Male,18,9,5,91,9,65,No,Low,105.3,11.7,40.3,High
201,Male,21,2,7,88,4,46,No,High,47.8,23.9,1.7999999999999972,Low
202,Female,19,2,5,80,0,81,No,Medium,65.4,32.7,-15.599999999999994,Medium
203,Male,18,8,4,80,1,86,No,Low,88.4,11.05,2.4000000000000057,High
204,Male,17,9,8,99,3,92,Yes,High,105.5,11.722222222222221,13.5,High
205,Female,21,7,7,82,4,77,Yes,High,92.4,13.200000000000001,15.400000000000006,High
206,Male,20,3,5,65,8,44,No,Medium,42.1,14.033333333333333,-1.8999999999999986,Low
207,Female,21,9,6,81,0,62,No,Medium,91.1,10.122222222222222,29.099999999999994,High
208,Female,20,3,7,97,2,67,Yes,Low,62.9,20.966666666666665,-4.100000000000001,Medium
209,Female,21,5,4,96,4,73,Yes,High,75.0,15.0,2.0,Medium
210,Male,21,9,4,67,2,92,No,High,97.9,10.877777777777778,5.900000000000006,High
211,Male,21,3,6,94,3,54,Yes,Medium,57.8,19.266666666666666,3.799999999999997,Low
212,Male,20,7,5,70,2,71,Yes,Medium,76.4,10.914285714285715,5.400000000000006,Medium
213,Male,20,1,7,83,3,65,No,Low,59.9,59.9,-5.100000000000001,Low
214,Male,21,4,5,80,0,87,No,High,75.8,18.95,-11.200000000000003,Medium
215,Male,18,4,4,61,7,70,No,High,58.3,14.575,-11.700000000000003,Low
216,Male,19,7,5,99,3,58,Yes,Low,83.9,11.985714285714286,25.900000000000006,Medium
217,Female,19,8,4,78,6,48,No,Low,89.6,11.2,41.599999999999994,High
218,Male,19,1,5,98,1,68,No,Medium,61.6,61.6,-6.399999999999999,Medium
219,Female,20,5,6,87,1,93,Yes,Medium,88.3,17.66,-4.700000000000003,High
220,Male,20,7,8,76,5,90,No,Low,99.8,14.257142857142856,9.799999999999997,High
221,Male,18,4,6,65,1,78,Yes,Low,65.7,16.425,-12.299999999999997,Medium
222,Male,19,4,6,78,5,43,Yes,High,57.6,14.4,14.600000000000001,Low
223,Female,19,4,8,97,1,42,Yes,Low,55.9,13.975,13.899999999999999,Low
224,Female,21,6,8,87,3,68,Yes,Low,82.3,13.716666666666667,14.299999999999997,Medium
225,Female,20,7,7,61,6,91,Yes,High,97.7,13.957142857142857,6.700000000000003,High
226,Female,19,2,7,97,7,50,Yes,Low,51.1,25.55,1.1000000000000014,Low
227,Male,18,5,6,96,2,72,No,Medium,75.6,15.12,3.5999999999999943,Medium
228,Female,18,4,6,63,8,77,No,Medium,69.7,17.425,-7.299999999999997,Medium
229,Male,19,3,4,81,1,50,No,High,63.3,21.099999999999998,13.299999999999997,Medium
230,Male,20,7,4,85,7,66,Yes,Low,76.9,10.985714285714286,10.900000000000006,Medium
231,Female,18,6,7,95,7,72,No,Medium,85.3,14.216666666666667,13.299999999999997,High
232,Female,21,7,7,72,3,60,Yes,Medium,80.6,11.514285714285714,20.599999999999994,Medium
233,Female,18,5,4,91,0,78,No,Medium,91.5,18.3,13.5,High
234,Female,17,6,4,76,0,70,Yes,Medium,82.8,13.799999999999999,12.799999999999997,Medium
235,Female,17,5,5,95,1,77,No,Low,89.3,17.86,12.299999999999997,High
236,Female,20,7,5,78,8,85,Yes,Low,85.4,12.200000000000001,0.4000000000000057,High
237,Female,19,2,4,94,1,41,No,Low,44.6,22.3,3.6000000000000014,Low
238,Female,20,5,5,99,1,66,Yes,Low,90.1,18.02,24.099999999999994,High
239,Male,20,6,8,87,5,75,No,Medium,88.1,14.683333333333332,13.099999999999994,High
240,Female,20,6,7,60,6,50,Yes,High,58.0,9.666666666666666,8.0,Low
241,Female,20,5,7,77,6,86,No,High,76.5,15.3,-9.5,Medium
242,Male,21,7,4,99,8,57,No,Medium,81.5,11.642857142857142,24.5,Medium
243,Female,21,8,6,92,5,40,No,Medium,86.6,10.825,46.599999999999994,High
244,Male,18,7,4,71,7,74,Yes,High,88.9,12.700000000000001,14.900000000000006,High
245,Male,17,5,5,67,5,74,Yes,High,71.7,14.34,-2.299999999999997,Medium
246,Female,20,1,6,83,1,70,Yes,Medium,50.9,50.9,-19.1,Low
247,Male,18,5,5,75,0,67,Yes,Medium,70.3,14.059999999999999,3.299999999999997,Medium
248,Male,17,2,8,63,4,78,Yes,Low,69.1,34.55,-8.900000000000006,Medium
249,Male,19,5,5,97,8,40,No,Low,78.1,15.62,38.099999999999994,Medium
250,Male,21,5,8,86,7,64,Yes,High,80.4,16.080000000000002,16.400000000000006,Medium
251,Female,17,2,8,68,3,82,No,Medium,56.2,28.1,-25.799999999999997,Low
252,Male,19,5,5,75,4,77,No,High,86.3,17.259999999999998,9.299999999999997,High
253,Female,17,4,5,71,4,59,Yes,Low,62.9,15.725,3.8999999999999986,Medium
254,Male,21,1,8,90,5,42,No,Low,50.8,50.8,8.799999999999997,Low
255,Male,21,3,6,83,2,90,Yes,High,78.9,26.3,-11.099999999999994,Medium
256,Male,18,1,8,73,4,41,Yes,Low,46.3,46.3,5.299999999999997,Low
257,Male,20,5,7,84,1,57,Yes,Medium,72.0,14.4,15.0,Medium
258,Female,17,4,8,93,9,83,No,High,86.1,21.525,3.0999999999999943,High
259,Female,17,7,6,62,0,49,Yes,Medium,67.2,9.6,18.200000000000003,Medium
260,Male,19,5,7,83,0,44,Yes,Medium,62.5,12.5,18.5,Medium
261,Male,21,4,4,68,9,48,Yes,Low,50.6,12.65,2.6000000000000014,Low
262,Female,17,2,4,85,6,41,No,Medium,53.9,26.95,12.899999999999999,Low
263,Male,21,4,6,79,1,73,Yes,High,74.9,18.725,1.9000000000000057,Medium
264,Male,17,2,8,99,3,77,No,Medium,78.5,39.25,1.5,Medium
265,Male,18,8,5,69,4,70,No,Medium,95.7,11.9625,25.700000000000003,High
266,Female,20,3,6,78,6,49,Yes,Medium,66.0,22.0,17.0,Medium
267,Female,17,9,7,62,1,89,No,Medium,89.2,9.911111111111111,0.20000000000000284,High
268,Female,21,4,7,83,5,51,No,Medium,62.3,15.575,11.299999999999997,Medium
269,Male,18,6,4,64,0,75,Yes,Low,84.2,14.033333333333333,9.200000000000003,Medium
270,Male,17,5,7,62,6,93,Yes,High,71.8,14.36,-21.200000000000003,Medium
271,Female,19,1,6,86,8,60,Yes,Low,51.8,51.8,-8.200000000000003,Low
272,Female,20,9,7,75,4,88,No,High,97.7,10.855555555555556,9.700000000000003,High
273,Female,17,1,6,74,4,86,Yes,High,66.6,66.6,-19.400000000000006,Medium
274,Female,18,8,5,94,3,45,No,High,86.2,10.775,41.2,High
275,Male,19,9,4,71,2,87,No,High,107.1,11.899999999999999,20.099999999999994,High
276,Female,18,9,7,85,8,88,No,High,113.7,12.633333333333333,25.700000000000003,High
277,Male,18,1,6,93,4,42,No,Medium,49.7,49.7,7.700000000000003,Low
278,Female,19,2,8,82,7,49,No,Low,51.2,25.6,2.200000000000003,Low
279,Male,18,1,4,90,8,44,Yes,Low,42.6,42.6,-1.3999999999999986,Low
280,Female,19,2,5,79,4,85,Yes,Medium,67.7,33.85,-17.299999999999997,Medium
281,Female,17,8,6,71,9,65,No,High,84.3,10.5375,19.299999999999997,Medium
282,Female,19,5,5,82,8,60,No,Low,71.6,14.319999999999999,11.599999999999994,Medium
283,Female,19,7,5,63,1,84,Yes,Medium,78.5,11.214285714285714,-5.5,Medium
284,Male,20,2,7,82,8,65,Yes,Medium,65.6,32.8,0.5999999999999943,Medium
285,Female,19,8,7,60,3,77,No,Low,83.8,10.475,6.799999999999997,Medium
286,Male,19,6,6,84,5,83,No,Low,96.4,16.066666666666666,13.400000000000006,High
287,Male,17,8,8,61,5,65,Yes,High,81.3,10.1625,16.299999999999997,Medium
288,Male,20,1,6,89,5,47,Yes,High,53.5,53.5,6.5,Low
289,Male,21,1,8,62,1,44,No,Low,46.2,46.2,2.200000000000003,Low
290,Female,17,7,5,80,6,54,Yes,High,81.6,11.657142857142857,27.599999999999994,Medium
291,Male,17,8,4,84,5,55,Yes,Medium,81.2,10.15,26.200000000000003,Medium
292,Male,21,3,6,79,0,40,No,High,62.7,20.900000000000002,22.700000000000003,Medium
293,Male,19,5,6,81,1,55,No,High,78.3,15.66,23.299999999999997,Medium
294,Female,18,1,8,80,6,76,No,Medium,57.4,57.4,-18.6,Low
295,Female,20,7,5,92,0,42,Yes,High,70.4,10.057142857142859,28.400000000000006,Medium
296,Female,18,5,5,97,0,91,No,Medium,99.5,19.9,8.5,High
297,Female,21,8,8,74,0,86,Yes,High,97.6,12.2,11.599999999999994,High
298,Male,17,8,5,74,7,70,No,Low,81.2,10.15,11.200000000000003,Medium
299,Male,17,9,7,84,3,52,No,High,90.0,10.0,38.0,High
300,Female,20,7,4,80,3,55,Yes,Low,71.0,10.142857142857142,16.0,Medium
301,Male,17,1,6,83,1,94,Yes,Low,60.5,60.5,-33.5,Medium
302,Male,17,3,4,64,0,82,No,Low,68.0,22.666666666666668,-14.0,Medium
303,Male,20,8,6,65,9,60,No,Low,81.5,10.1875,21.5,Medium
304,Female,20,3,7,82,8,41,Yes,Low,49.0,16.333333333333332,8.0,Low
305,Female,21,8,5,63,6,93,No,Medium,94.1,11.7625,1.0999999999999943,High
306,Male,17,1,8,86,3,66,Yes,Medium,52.2,52.2,-13.799999999999997,Low
307,Female,17,5,7,77,5,77,Yes,Medium,68.9,13.780000000000001,-8.099999999999994,Medium
308,Female,21,4,4,80,1,65,No,Low,69.0,17.25,4.0,Medium
309,Female,19,5,8,87,6,77,Yes,High,84.9,16.98,7.900000000000006,Medium
310,Female,19,8,5,94,1,85,Yes,Medium,109.2,13.65,24.200000000000003,High
311,Female,19,4,7,81,9,64,Yes,High,64.9,16.225,0.9000000000000057,Medium
312,Male,21,4,8,99,7,50,No,High,76.7,19.175,26.700000000000003,Medium
313,Female,17,3,7,82,7,47,Yes,Low,67.4,22.46666666666667,20.400000000000006,Medium
314,Male,21,7,7,62,0,47,No,Low,77.4,11.057142857142859,30.400000000000006,Medium
315,Male,21,3,5,99,7,72,No,Low,77.5,25.833333333333332,5.5,Medium
316,Female,19,3,6,69,1,92,No,Medium,77.5,25.833333333333332,-14.5,Medium
317,Male,18,5,8,84,5,46,Yes,Low,65.6,13.12,19.599999999999994,Medium
318,Male,17,5,5,67,0,77,Yes,Medium,77.9,15.580000000000002,0.9000000000000057,Medium
319,Male,19,6,7,70,4,60,No,Medium,75.0,12.5,15.0,Medium
