Student_ID,Gender,Age,Study_Hours_per_Day,Sleep_Hours,Attendance_Percentage,Assignments_Completed,Previous_Exam_Score,Internet_Access,Family_Income_Level,Final_Exam_Score
93,Female,20,8,5,63,3,52,No,High,69.7
94,Female,19,6,6,98,6,80,No,Low,92.4
95,Female,20,4,7,67,1,92,No,Medium,71.9
96,Female,17,5,4,84,5,84,No,Medium,81.8
97,Female,19,9,7,72,7,51,Yes,Low,81.0
98,Female,17,7,4,91,6,52,No,Low,88.1
99,Female,18,9,8,97,6,49,No,Low,100.7
100,Male,19,7,5,97,7,72,No,Low,98.9
101,Male,18,1,8,87,6,79,Yes,High,69.7
102,Female,19,8,8,89,4,93,No,Low,93.9
103,Female,21,4,7,62,6,55,No,High,68.6
104,Female,20,3,5,87,9,84,Yes,High,71.7
105,Female,21,7,4,62,2,74,Yes,Low,75.2
106,Female,18,3,4,93,4,42,Yes,High,53.7
107,Female,20,8,6,75,6,44,Yes,Low,77.1
108,Female,19,6,4,81,8,65,No,Low,88.3
109,Female,20,5,7,91,1,50,Yes,Medium,79.3
110,Male,17,4,8,97,3,46,No,Low,74.5
111,Female,20,8,8,67,6,92,No,Medium,86.9
112,Male,17,8,8,67,0,49,No,High,83.7
113,Female,20,1,5,65,1,81,No,Medium,63.9
114,Female,17,9,4,73,8,91,No,High,99.3
115,Male,18,5,7,91,9,73,Yes,Low,86.5
116,Female,21,4,5,94,6,42,No,High,70.0
117,Male,19,6,6,69,9,47,No,High,73.5
118,Female,20,6,7,62,6,70,No,Low,71.6
119,Female,21,2,7,71,5,50,Yes,High,49.3
120,Male,19,8,7,90,2,84,No,Low,96.6
121,Female,19,7,8,88,9,46,No,Medium,82.8
122,Male,17,1,7,64,2,84,Yes,Low,57.8
123,Female,18,5,4,84,1,41,No,Low,71.6
124,Male,18,6,7,90,5,45,No,High,70.0
125,Male,21,4,8,80,3,80,Yes,Medium,81.0
126,Female,18,2,7,79,4,71,No,Low,71.1
127,Female,20,4,6,98,2,59,No,Medium,78.0
128,Male,18,1,6,81,5,73,No,Medium,59.5
129,Female,21,7,8,63,2,89,No,High,95.5
130,Female,18,2,4,72,7,55,No,Low,47.6
131,Female,20,2,4,79,8,64,Yes,High,61.3
132,Male,17,9,5,72,3,51,Yes,Low,84.0
133,Male,21,5,8,76,8,46,Yes,Medium,60.2
134,Male,17,2,7,95,6,78,No,Low,70.7
135,Male,17,9,8,92,2,56,No,Low,93.0
136,Male,17,9,5,60,6,84,No,Medium,88.6
137,Male,19,1,8,74,0,50,Yes,Medium,39.2
138,Male,19,3,8,72,2,45,No,Low,44.6
139,Male,17,4,5,76,5,62,No,High,74.6
140,Male,21,7,4,83,3,66,No,Low,87.3
141,Female,20,4,7,67,6,85,Yes,Medium,72.1
142,Male,20,2,5,86,2,45,Yes,High,51.8
143,Female,18,7,6,82,0,77,No,Medium,97.4
144,Female,21,6,4,67,8,41,No,Medium,73.5
145,Female,19,3,6,67,5,61,No,High,55.5
146,Male,17,6,4,85,7,59,Yes,Medium,72.1
147,Male,18,6,7,72,2,64,Yes,Medium,79.2
148,Male,20,5,7,98,7,54,Yes,Medium,82.0
149,Male,19,4,8,96,1,88,No,Medium,75.0
150,Female,19,1,6,87,3,68,Yes,Medium,61.3
151,Male,17,6,4,84,2,47,No,Medium,66.0
152,Male,20,2,7,75,9,76,No,Medium,56.9
153,Male,21,3,5,61,0,88,Yes,Medium,71.5
154,Male,19,8,7,77,6,91,No,Medium,91.5
155,Male,17,6,5,76,9,72,Yes,Low,77.6
156,Female,21,3,4,89,1,61,No,Low,73.1
157,Male,20,7,7,98,3,89,No,Medium,102.0
158,Female,19,4,7,72,8,86,Yes,Low,75.0
159,Male,21,9,4,91,5,44,No,High,91.9
160,Female,21,5,7,88,7,78,No,Low,87.6
161,Male,21,3,5,89,1,57,No,Medium,62.5
162,Male,19,2,7,77,6,77,No,Medium,54.9
163,Female,19,2,6,72,5,93,No,Low,62.8
164,Female,18,3,8,80,8,92,No,Medium,81.8
165,Female,20,2,5,89,6,76,No,High,60.1
166,Male,17,4,6,80,0,69,No,High,77.6
167,Female,21,2,4,76,7,90,Yes,Medium,66.8
168,Male,18,9,5,99,9,70,Yes,High,111.7
169,Male,17,2,8,78,2,49,No,High,44.0
170,Female,18,9,8,74,1,54,No,Low,95.8
171,Female,19,6,4,68,2,81,Yes,High,82.8
172,Male,21,1,4,69,5,87,No,Low,62.5
173,Male,17,4,5,90,2,83,Yes,Medium,77.2
174,Female,17,1,7,82,9,57,Yes,Low,42.4
175,Female,17,6,4,89,4,62,Yes,Medium,87.5
176,Female,17,4,7,92,5,72,No,Medium,77.4
177,Male,17,3,6,68,7,55,No,Medium,50.4
178,Male,18,3,8,60,6,93,No,Medium,72.2
179,Male,21,9,7,94,7,77,Yes,Medium,102.0
180,Male,19,6,8,70,2,74,Yes,Low,76.6
181,Male,19,9,7,93,3,73,Yes,Medium,96.1
182,Male,19,5,6,75,5,67,No,High,68.3
183,Female,19,2,4,68,6,41,Yes,High,52.8
184,Male,18,8,6,91,8,69,Yes,Medium,92.9
185,Male,20,5,4,74,0,52,No,High,63.0
186,Male,21,2,4,71,7,80,Yes,Low,71.3
187,Female,17,4,8,92,7,55,Yes,Low,74.6
188,Male,20,9,6,73,5,44,No,Medium,75.5
189,Male,19,4,7,67,3,94,No,Medium,76.7
190,Female,20,4,6,67,2,67,Yes,Medium,71.9
191,Male,21,2,8,86,2,92,No,High,66.6
192,Male,17,6,4,71,5,78,Yes,High,86.5
193,Male,17,2,8,60,7,84,No,Low,63.6
194,Male,21,7,5,99,6,59,Yes,High,90.3
195,Male,21,3,5,70,0,63,No,Low,63.2
196,Female,19,3,7,98,5,66,Yes,High,74.8
197,Female,17,5,8,90,6,69,No,Low,82.6
198,Female,20,3,7,76,6,84,No,Medium,68.4
199,Male,18,2,7,92,8,66,No,High,64.0
200,Male,18,9,5,91,9,65,No,Low,105.3
201,Male,21,2,7,88,4,46,No,High,47.8
202,Female,19,2,5,80,0,81,No,Medium,65.4
203,Male,18,8,4,80,1,86,No,Low,88.4
204,Male,17,9,8,99,3,92,Yes,High,105.5
205,Female,21,7,7,82,4,77,Yes,High,92.4
206,Male,20,3,5,65,8,44,No,Medium,42.1
207,Female,21,9,6,81,0,62,No,Medium,91.1
208,Female,20,3,7,97,2,67,Yes,Low,62.9
209,Female,21,5,4,96,4,73,Yes,High,75.0
210,Male,21,9,4,67,2,92,No,High,97.9
211,Male,21,3,6,94,3,54,Yes,Medium,57.8
212,Male,20,7,5,70,2,71,Yes,Medium,76.4
213,Male,20,1,7,83,3,65,No,Low,59.9
214,Male,21,4,5,80,0,87,No,High,75.8
215,Male,18,4,4,61,7,70,No,High,58.3
216,Male,19,7,5,99,3,58,Yes,Low,83.9
217,Female,19,8,4,78,6,48,No,Low,89.6
218,Male,19,1,5,98,1,68,No,Medium,61.6
219,Female,20,5,6,87,1,93,Yes,Medium,88.3
220,Male,20,7,8,76,5,90,No,Low,99.8
221,Male,18,4,6,65,1,78,Yes,Low,65.7
222,Male,19,4,6,78,5,43,Yes,High,57.6
223,Female,19,4,8,97,1,42,Yes,Low,55.9
224,Female,21,6,8,87,3,68,Yes,Low,82.3
225,Female,20,7,7,61,6,91,Yes,High,97.7
226,Female,19,2,7,97,7,50,Yes,Low,51.1
227,Male,18,5,6,96,2,72,No,Medium,75.6
228,Female,18,4,6,63,8,77,No,Medium,69.7
229,Male,19,3,4,81,1,50,No,High,63.3
230,Male,20,7,4,85,7,66,Yes,Low,76.9
231,Female,18,6,7,95,7,72,No,Medium,85.3
232,Female,21,7,7,72,3,60,Yes,Medium,80.6
233,Female,18,5,4,91,0,78,No,Medium,91.5
234,Female,17,6,4,76,0,70,Yes,Medium,82.8
235,Female,17,5,5,95,1,77,No,Low,89.3
236,Female,20,7,5,78,8,85,Yes,Low,85.4
237,Female,19,2,4,94,1,41,No,Low,44.6
238,Female,20,5,5,99,1,66,Yes,Low,90.1
239,Male,20,6,8,87,5,75,No,Medium,88.1
240,Female,20,6,7,60,6,50,Yes,High,58.0
241,Female,20,5,7,77,6,86,No,High,76.5
242,Male,21,7,4,99,8,57,No,Medium,81.5
243,Female,21,8,6,92,5,40,No,Medium,86.6
244,Male,18,7,4,71,7,74,Yes,High,88.9
245,Male,17,5,5,67,5,74,Yes,High,71.7
246,Female,20,1,6,83,1,70,Yes,Medium,50.9
247,Male,18,5,5,75,0,67,Yes,Medium,70.3
248,Male,17,2,8,63,4,78,Yes,Low,69.1
249,Male,19,5,5,97,8,40,No,Low,78.1
250,Male,21,5,8,86,7,64,Yes,High,80.4
251,Female,17,2,8,68,3,82,No,Medium,56.2
252,Male,19,5,5,75,4,77,No,High,86.3
253,Female,17,4,5,71,4,59,Yes,Low,62.9
254,Male,21,1,8,90,5,42,No,Low,50.8
255,Male,21,3,6,83,2,90,Yes,High,78.9
256,Male,18,1,8,73,4,41,Yes,Low,46.3
257,Male,20,5,7,84,1,57,Yes,Medium,72.0
258,Female,17,4,8,93,9,83,No,High,86.1
259,Female,17,7,6,62,0,49,Yes,Medium,67.2
260,Male,19,5,7,83,0,44,Yes,Medium,62.5
261,Male,21,4,4,68,9,48,Yes,Low,50.6
262,Female,17,2,4,85,6,41,No,Medium,53.9
263,Male,21,4,6,79,1,73,Yes,High,74.9
264,Male,17,2,8,99,3,77,No,Medium,78.5
265,Male,18,8,5,69,4,70,No,Medium,95.7
266,Female,20,3,6,78,6,49,Yes,Medium,66.0
267,Female,17,9,7,62,1,89,No,Medium,89.2
268,Female,21,4,7,83,5,51,No,Medium,62.3
269,Male,18,6,4,64,0,75,Yes,Low,84.2
270,Male,17,5,7,62,6,93,Yes,High,71.8
271,Female,19,1,6,86,8,60,Yes,Low,51.8
272,Female,20,9,7,75,4,88,No,High,97.7
273,Female,17,1,6,74,4,86,Yes,High,66.6
274,Female,18,8,5,94,3,45,No,High,86.2
275,Male,19,9,4,71,2,87,No,High,107.1
276,Female,18,9,7,85,8,88,No,High,113.7
277,Male,18,1,6,93,4,42,No,Medium,49.7
278,Female,19,2,8,82,7,49,No,Low,51.2
279,Male,18,1,4,90,8,44,Yes,Low,42.6
280,Female,19,2,5,79,4,85,Yes,Medium,67.7
281,Female,17,8,6,71,9,65,No,High,84.3
282,Female,19,5,5,82,8,60,No,Low,71.6
283,Female,19,7,5,63,1,84,Yes,Medium,78.5
284,Male,20,2,7,82,8,65,Yes,Medium,65.6
285,Female,19,8,7,60,3,77,No,Low,83.8
286,Male,19,6,6,84,5,83,No,Low,96.4
287,Male,17,8,8,61,5,65,Yes,High,81.3
288,Male,20,1,6,89,5,47,Yes,High,53.5
289,Male,21,1,8,62,1,44,No,Low,46.2
290,Female,17,7,5,80,6,54,Yes,High,81.6
291,Male,17,8,4,84,5,55,Yes,Medium,81.2
292,Male,21,3,6,79,0,40,No,High,62.7
293,Male,19,5,6,81,1,55,No,High,78.3
294,Female,18,1,8,80,6,76,No,Medium,57.4
295,Female,20,7,5,92,0,42,Yes,High,70.4
296,Female,18,5,5,97,0,91,No,Medium,99.5
297,Female,21,8,8,74,0,86,Yes,High,97.6
298,Male,17,8,5,74,7,70,No,Low,81.2
299,Male,17,9,7,84,3,52,No,High,90.0
300,Female,20,7,4,80,3,55,Yes,Low,71.0
301,Male,17,1,6,83,1,94,Yes,Low,60.5
302,Male,17,3,4,64,0,82,No,Low,68.0
303,Male,20,8,6,65,9,60,No,Low,81.5
304,Female,20,3,7,82,8,41,Yes,Low,49.0
305,Female,21,8,5,63,6,93,No,Medium,94.1
306,Male,17,1,8,86,3,66,Yes,Medium,52.2
307,Female,17,5,7,77,5,77,Yes,Medium,68.9
308,Female,21,4,4,80,1,65,No,Low,69.0
309,Female,19,5,8,87,6,77,Yes,High,84.9
310,Female,19,8,5,94,1,85,Yes,Medium,109.2
311,Female,19,4,7,81,9,64,Yes,High,64.9
312,Male,21,4,8,99,7,50,No,High,76.7
313,Female,17,3,7,82,7,47,Yes,Low,67.4
314,Male,21,7,7,62,0,47,No,Low,77.4
315,Male,21,3,5,99,7,72,No,Low,77.5
316,Female,19,3,6,69,1,92,No,Medium,77.5
317,Male,18,5,8,84,5,46,Yes,Low,65.6
318,Male,17,5,5,67,0,77,Yes,Medium,77.9
319,Male,19,6,7,70,4,60,No,Medium,75.0
320,Female,18,8,5,64,6,47,No,Medium,74.0
321,Female,18,6,6,96,9,90,Yes,Medium,100.8
322,Male,20,1,8,97,0,93,No,Low,78.3
323,Female,17,8,6,88,1,60,No,Medium,98.4
324,Female,18,8,4,64,6,59,Yes,Low,84.8
325,Female,19,9,8,68,5,47,No,Low,88.2
326,Female,20,9,6,61,2,85,Yes,Medium,87.3
327,Male,17,2,7,60,9,70,Yes,Low,61.0
328,Male,21,2,8,99,1,89,No,High,69.3
329,Female,19,3,8,89,9,68,Yes,Low,60.9
330,Female,18,1,5,70,3,87,Yes,Low,59.8
331,Male,18,4,7,87,2,48,Yes,Medium,73.3
332,Male,19,4,4,71,6,54,No,Medium,56.9
333,Female,18,9,6,98,7,69,No,Low,98.0
334,Male,20,9,5,85,1,65,No,Medium,99.5
335,Female,17,9,6,72,9,49,Yes,High,78.2
336,Female,20,7,4,67,6,68,Yes,High,84.3
337,Male,18,2,4,87,7,93,No,Medium,75.3
338,Male,21,5,8,89,5,55,No,Low,72.7
339,Female,17,4,4,68,5,75,Yes,High,61.4
340,Female,17,8,6,98,9,59,No,High,88.0
341,Male,19,2,7,90,0,84,No,Low,67.6
342,Female,19,6,7,80,3,93,No,Medium,84.2
343,Male,21,5,8,93,0,76,No,High,84.3
344,Female,17,2,6,90,3,61,No,Low,65.4
345,Male,21,1,6,84,1,46,Yes,Low,45.6
346,Male,19,8,4,71,4,62,No,High,82.1
347,Male,19,2,6,60,9,80,No,Medium,63.0
348,Female,17,7,5,81,8,79,Yes,High,98.9
349,Female,20,9,4,99,9,68,Yes,Low,104.9
350,Male,18,9,5,96,2,55,Yes,High,97.8
351,Female,19,8,8,60,7,77,Yes,Medium,78.8
352,Male,19,9,7,60,2,67,No,Low,97.8
353,Male,20,2,8,80,5,87,No,Medium,58.8
354,Female,20,6,7,74,3,77,No,High,76.0
355,Female,21,4,8,76,7,70,No,High,69.8
356,Male,21,4,6,81,5,53,Yes,Medium,57.5
357,Female,18,5,5,97,7,92,Yes,High,99.9
358,Female,18,3,7,94,0,72,No,Medium,70.0
359,Male,17,1,4,75,5,48,No,High,38.7
360,Male,21,8,5,67,0,66,No,Medium,81.5
361,Female,19,5,4,76,0,63,No,Medium,68.0
362,Male,21,3,5,76,7,52,Yes,Low,59.6
363,Male,19,7,5,85,6,65,No,Low,76.5
364,Female,20,7,8,72,2,68,Yes,Medium,88.8
365,Male,21,1,7,76,5,90,Yes,High,57.8
366,Male,20,9,7,97,8,88,Yes,High,107.3
367,Female,18,2,5,76,6,82,Yes,High,64.6
368,Female,18,5,6,73,2,67,No,Medium,75.7
369,Male,17,5,6,65,5,67,No,Medium,75.3
370,Male,21,8,4,94,3,47,No,Medium,88.0
371,Female,20,8,4,73,2,62,No,Medium,80.7
372,Female,19,7,8,67,8,68,Yes,Low,76.3
373,Female,18,7,5,74,9,44,Yes,Medium,81.8
374,Female,18,6,4,86,1,81,Yes,High,89.2
375,Male,19,6,4,72,0,46,No,Low,62.0
376,Female,20,9,5,90,1,81,Yes,High,100.4
377,Female,20,6,8,94,6,75,Yes,Medium,94.2
378,Male,21,2,4,65,9,80,Yes,Low,69.5
379,Female,21,2,8,64,0,66,Yes,Medium,62.6
380,Male,17,5,7,81,5,85,No,Low,73.3
381,Female,18,4,8,82,6,41,Yes,High,55.0
382,Female,21,2,6,84,8,64,Yes,Medium,51.8
383,Female,20,3,6,93,7,48,No,Medium,52.1
384,Male,19,7,8,85,5,92,No,Low,93.3
385,Male,20,8,6,64,2,66,No,Low,85.6
386,Female,18,6,7,85,7,40,Yes,Medium,71.5
387,Male,20,5,5,79,6,62,Yes,Low,80.5
388,Male,17,1,6,65,2,49,Yes,Medium,50.1
389,Male,18,8,6,65,8,81,Yes,Low,82.9
390,Male,19,3,8,77,1,91,No,High,70.5
391,Male,17,6,7,63,2,64,Yes,Low,70.5
392,Male,18,3,5,76,1,93,Yes,High,74.0
393,Female,19,7,8,73,0,42,No,Low,65.7
394,Female,17,7,8,73,3,45,No,Low,75.9
395,Male,17,9,7,72,4,45,No,Medium,76.6
396,Female,18,5,5,66,5,92,Yes,Low,81.6
397,Female,21,8,7,74,4,41,Yes,Low,79.6
398,Female,17,8,5,78,0,57,Yes,High,79.2
399,Female,17,1,7,94,2,62,Yes,Low,63.0
400,Male,19,5,8,76,0,41,Yes,Medium,73.2
401,Female,20,3,8,94,4,51,No,High,70.6
402,Female,18,1,4,78,4,61,No,Medium,45.8
403,Male,18,4,6,79,5,76,Yes,Medium,69.1
404,Male,21,8,7,95,7,59,Yes,Medium,96.1
405,Female,21,3,4,94,9,78,Yes,Medium,64.4
406,Female,18,2,6,91,0,63,Yes,High,54.5
407,Female,21,9,7,99,3,87,Yes,Low,103.5
408,Female,19,5,5,83,9,59,No,Medium,79.5
409,Female,18,7,6,76,0,40,No,High,76.8
410,Female,21,2,8,66,8,40,No,Medium,43.8
411,Male,18,9,4,60,6,56,Yes,Low,77.4
412,Female,20,9,6,94,6,40,Yes,High,91.2
413,Female,17,4,6,91,4,92,No,High,76.1
414,Male,18,4,8,95,6,91,No,Low,84.9
415,Male,17,6,7,72,1,84,Yes,High,76.2
416,Male,21,6,5,65,3,69,No,Low,81.1
417,Male,17,1,8,73,6,80,No,High,60.9
418,Female,18,9,5,96,2,86,Yes,High,116.2
419,Female,20,2,7,74,1,42,No,Low,54.0
420,Female,21,5,6,63,9,85,No,Low,84.9
421,Female,18,9,5,99,1,94,No,High,108.3
422,Female,21,4,4,75,0,50,Yes,High,64.5
423,Female,19,3,4,87,4,63,No,Low,59.3
424,Male,17,7,8,75,5,61,No,Low,79.9
425,Female,19,6,7,63,5,83,No,High,81.1
426,Male,18,8,8,85,8,84,Yes,High,97.1
427,Male,20,3,8,87,3,65,Yes,High,63.1
428,Female,21,5,8,91,0,52,No,Low,77.1
429,Male,17,4,4,61,5,40,Yes,High,51.3
430,Female,21,4,4,90,4,63,No,Medium,80.2
431,Male,18,4,8,62,9,49,Yes,Low,58.2
432,Female,21,8,4,67,5,74,Yes,High,83.7
433,Male,17,6,7,83,2,63,No,Low,71.1
434,Female,18,3,8,74,1,67,No,Medium,63.0
435,Female,21,5,4,90,5,75,No,Low,87.0
436,Female,20,6,5,68,0,55,Yes,High,74.4
437,Female,18,5,8,98,6,79,No,Medium,83.0
438,Female,18,6,8,61,6,55,Yes,Medium,68.3
439,Male,20,8,7,67,9,56,Yes,High,82.5
440,Male,19,7,6,66,6,90,No,High,90.8
441,Male,17,5,6,98,9,93,Yes,High,96.6
442,Female,19,6,7,75,0,54,No,Low,73.1
443,Male,21,4,7,94,3,55,Yes,Low,71.2
444,Female,20,9,7,89,6,54,No,Low,88.3
445,Female,19,4,6,69,8,73,Yes,High,70.9
446,Male,18,1,7,97,4,50,Yes,High,53.1
447,Male,21,7,4,77,1,40,No,Low,81.1
448,Female,21,7,8,64,6,54,Yes,Medium,82.8
449,Male,19,4,8,88,9,65,No,Low,65.4
450,Female,19,3,5,98,0,90,Yes,Medium,78.4
451,Female,20,8,5,93,6,43,Yes,High,81.1
452,Female,17,5,8,82,5,82,Yes,High,89.4
453,Female,19,7,4,64,6,44,No,Low,68.8
454,Female,19,4,6,89,9,74,No,Low,76.3
455,Male,18,4,6,65,2,52,No,High,56.3
456,Male,21,8,4,63,2,49,No,Low,76.5
457,Female,17,8,6,88,6,50,No,High,83.4
458,Female,18,2,7,82,1,57,Yes,High,49.4
459,Male,20,2,8,65,0,73,Yes,Medium,64.7
460,Male,20,3,8,91,8,78,No,Low,64.5
461,Female,19,3,4,77,8,80,Yes,High,74.1
462,Male,19,1,6,74,6,81,Yes,Low,62.6
463,Female,20,3,5,99,6,89,Yes,Medium,87.3
464,Male,19,6,5,91,2,62,Yes,Medium,87.1
465,Female,17,8,6,68,9,46,No,Low,87.8
466,Male,19,6,5,96,1,78,Yes,Low,83.0
467,Female,21,5,4,69,6,42,No,High,71.5
468,Male,19,4,4,79,8,51,No,Medium,59.1
469,Male,18,3,6,65,0,46,Yes,Medium,47.9
470,Female,17,4,5,62,3,88,No,Medium,73.8
471,Male,18,7,4,70,5,65,Yes,Low,88.0
472,Female,18,1,4,76,6,72,Yes,High,48.6
473,Male,21,7,7,91,9,76,Yes,Low,94.7
474,Female,17,1,7,63,6,87,No,Low,50.7
475,Male,17,2,4,63,9,54,No,Low,55.5
476,Female,17,4,6,76,1,41,No,High,63.2
477,Male,17,1,8,78,3,80,Yes,Low,60.4
478,Female,17,9,8,64,4,46,Yes,Medium,89.6
479,Male,21,6,4,91,0,71,Yes,Medium,89.7
480,Female,19,1,4,81,0,43,No,Medium,40.5
481,Female,18,1,4,65,9,59,Yes,High,53.1
482,Female,17,6,6,94,2,89,Yes,Low,98.8
483,Male,19,4,7,81,9,92,No,High,87.1
484,Female,19,4,4,60,2,75,No,Low,66.0
485,Male,18,6,4,79,7,71,No,Medium,74.1
486,Female,21,7,5,81,8,67,Yes,Low,95.1
487,Male,20,9,6,70,0,52,Yes,Low,88.8
488,Female,20,5,4,72,1,40,Yes,Low,54.6
489,Male,19,9,5,62,9,74,No,High,89.2
490,Male,18,4,8,68,1,87,No,Low,70.2
491,Female,20,2,4,71,3,69,No,Low,56.9
492,Male,19,3,4,82,1,93,No,Low,77.8
493,Male,21,1,5,73,6,75,Yes,High,60.9
494,Female,20,6,6,92,8,94,Yes,High,104.2
495,Male,19,6,4,77,6,64,Yes,High,70.7
496,Male,19,1,8,68,5,55,Yes,Low,46.4
497,Male,17,3,4,82,9,58,Yes,Medium,52.8
498,Female,21,5,8,69,0,40,Yes,Medium,69.7
499,Male,17,3,7,78,9,44,Yes,Medium,64.0
500,Female,18,3,7,64,8,90,Yes,Low,72.2
501,Male,17,3,8,82,4,61,No,Medium,65.0
502,Male,17,5,6,89,4,63,No,Medium,66.9
503,Male,20,5,4,84,5,82,Yes,Medium,91.0
504,Female,19,4,4,87,8,84,No,Low,84.7
505,Male,21,1,7,93,7,91,Yes,Medium,73.3
506,Male,17,5,8,84,7,76,Yes,Medium,85.6
507,Female,21,5,4,69,7,92,No,Low,82.5
508,Male,17,4,4,73,0,75,Yes,High,66.9
509,Female,18,6,6,89,0,75,Yes,Medium,86.7
510,Female,17,4,5,84,7,43,Yes,High,54.4
511,Male,20,7,7,73,4,75,Yes,Medium,90.9
