Student_ID,Gender,Age,Study_Hours_per_Day,Sleep_Hours,Attendance_Percentage,Assignments_Completed,Previous_Exam_Score,Internet_Access,Family_Income_Level,Final_Exam_Score,Performance
179,Male,21,9,7,94,7,77,Yes,Medium,102.0,Excellent
180,Male,19,6,8,70,2,74,Yes,Low,76.6,Good
181,Male,19,9,7,93,3,73,Yes,Medium,96.1,Excellent
182,Male,19,5,6,75,5,67,No,High,68.3,Good
183,Female,19,2,4,68,6,41,Yes,High,52.8,Average
184,Male,18,8,6,91,8,69,Yes,Medium,92.9,Excellent
185,Male,20,5,4,74,0,52,No,High,63.0,Average
186,Male,21,2,4,71,7,80,Yes,Low,71.3,Good
187,Female,17,4,8,92,7,55,Yes,Low,74.6,Good
188,Male,20,9,6,73,5,44,No,Medium,75.5,Good
189,Male,19,4,7,67,3,94,No,Medium,76.7,Good
190,Female,20,4,6,67,2,67,Yes,Medium,71.9,Good
191,Male,21,2,8,86,2,92,No,High,66.6,Good
192,Male,17,6,4,71,5,78,Yes,High,86.5,Excellent
193,Male,17,2,8,60,7,84,No,Low,63.6,Average
194,Male,21,7,5,99,6,59,Yes,High,90.3,Excellent
195,Male,21,3,5,70,0,63,No,Low,63.2,Average
196,Female,19,3,7,98,5,66,Yes,High,74.8,Good
197,Female,17,5,8,90,6,69,No,Low,82.6,Excellent
198,Female,20,3,7,76,6,84,No,Medium,68.4,Good
199,Male,18,2,7,92,8,66,No,High,64.0,Average
200,Male,18,9,5,91,9,65,No,Low,105.3,Excellent
201,Male,21,2,7,88,4,46,No,High,47.8,Fail
202,Female,19,2,5,80,0,81,No,Medium,65.4,Good
203,Male,18,8,4,80,1,86,No,Low,88.4,Excellent
204,Male,17,9,8,99,3,92,Yes,High,105.5,Excellent
205,Female,21,7,7,82,4,77,Yes,High,92.4,Excellent
206,Male,20,3,5,65,8,44,No,Medium,42.1,Fail
207,Female,21,9,6,81,0,62,No,Medium,91.1,Excellent
208,Female,20,3,7,97,2,67,Yes,Low,62.9,Average
209,Female,21,5,4,96,4,73,Yes,High,75.0,Good
210,Male,21,9,4,67,2,92,No,High,97.9,Excellent
211,Male,21,3,6,94,3,54,Yes,Medium,57.8,Average
212,Male,20,7,5,70,2,71,Yes,Medium,76.4,Good
213,Male,20,1,7,83,3,65,No,Low,59.9,Average
214,Male,21,4,5,80,0,87,No,High,75.8,Good
215,Male,18,4,4,61,7,70,No,High,58.3,Average
216,Male,19,7,5,99,3,58,Yes,Low,83.9,Excellent
217,Female,19,8,4,78,6,48,No,Low,89.6,Excellent
218,Male,19,1,5,98,1,68,No,Medium,61.6,Average
219,Female,20,5,6,87,1,93,Yes,Medium,88.3,Excellent
220,Male,20,7,8,76,5,90,No,Low,99.8,Excellent
221,Male,18,4,6,65,1,78,Yes,Low,65.7,Good
222,Male,19,4,6,78,5,43,Yes,High,57.6,Average
223,Female,19,4,8,97,1,42,Yes,Low,55.9,Average
224,Female,21,6,8,87,3,68,Yes,Low,82.3,Excellent
225,Female,20,7,7,61,6,91,Yes,High,97.7,Excellent
226,Female,19,2,7,97,7,50,Yes,Low,51.1,Average
227,Male,18,5,6,96,2,72,No,Medium,75.6,Good
228,Female,18,4,6,63,8,77,No,Medium,69.7,Good
229,Male,19,3,4,81,1,50,No,High,63.3,Average
230,Male,20,7,4,85,7,66,Yes,Low,76.9,Good
231,Female,18,6,7,95,7,72,No,Medium,85.3,Excellent
232,Female,21,7,7,72,3,60,Yes,Medium,80.6,Excellent
233,Female,18,5,4,91,0,78,No,Medium,91.5,Excellent
234,Female,17,6,4,76,0,70,Yes,Medium,82.8,Excellent
235,Female,17,5,5,95,1,77,No,Low,89.3,Excellent
236,Female,20,7,5,78,8,85,Yes,Low,85.4,Excellent
237,Female,19,2,4,94,1,41,No,Low,44.6,Fail
238,Female,20,5,5,99,1,66,Yes,Low,90.1,Excellent
239,Male,20,6,8,87,5,75,No,Medium,88.1,Excellent
240,Female,20,6,7,60,6,50,Yes,High,58.0,Average
241,Female,20,5,7,77,6,86,No,High,76.5,Good
242,Male,21,7,4,99,8,57,No,Medium,81.5,Excellent
243,Female,21,8,6,92,5,40,No,Medium,86.6,Excellent
244,Male,18,7,4,71,7,74,Yes,High,88.9,Excellent
245,Male,17,5,5,67,5,74,Yes,High,71.7,Good
246,Female,20,1,6,83,1,70,Yes,Medium,50.9,Average
247,Male,18,5,5,75,0,67,Yes,Medium,70.3,Good
248,Male,17,2,8,63,4,78,Yes,Low,69.1,Good
249,Male,19,5,5,97,8,40,No,Low,78.1,Good
250,Male,21,5,8,86,7,64,Yes,High,80.4,Excellent
251,Female,17,2,8,68,3,82,No,Medium,56.2,Average
252,Male,19,5,5,75,4,77,No,High,86.3,Excellent
253,Female,17,4,5,71,4,59,Yes,Low,62.9,Average
254,Male,21,1,8,90,5,42,No,Low,50.8,Average
255,Male,21,3,6,83,2,90,Yes,High,78.9,Good
256,Male,18,1,8,73,4,41,Yes,Low,46.3,Fail
257,Male,20,5,7,84,1,57,Yes,Medium,72.0,Good
258,Female,17,4,8,93,9,83,No,High,86.1,Excellent
259,Female,17,7,6,62,0,49,Yes,Medium,67.2,Good
260,Male,19,5,7,83,0,44,Yes,Medium,62.5,Average
261,Male,21,4,4,68,9,48,Yes,Low,50.6,Average
262,Female,17,2,4,85,6,41,No,Medium,53.9,Average
263,Male,21,4,6,79,1,73,Yes,High,74.9,Good
264,Male,17,2,8,99,3,77,No,Medium,78.5,Good
265,Male,18,8,5,69,4,70,No,Medium,95.7,Excellent
266,Female,20,3,6,78,6,49,Yes,Medium,66.0,Good
267,Female,17,9,7,62,1,89,No,Medium,89.2,Excellent
268,Female,21,4,7,83,5,51,No,Medium,62.3,Average
269,Male,18,6,4,64,0,75,Yes,Low,84.2,Excellent
270,Male,17,5,7,62,6,93,Yes,High,71.8,Good
271,Female,19,1,6,86,8,60,Yes,Low,51.8,Average
272,Female,20,9,7,75,4,88,No,High,97.7,Excellent
273,Female,17,1,6,74,4,86,Yes,High,66.6,Good
274,Female,18,8,5,94,3,45,No,High,86.2,Excellent
275,Male,19,9,4,71,2,87,No,High,107.1,Excellent
276,Female,18,9,7,85,8,88,No,High,113.7,Excellent
277,Male,18,1,6,93,4,42,No,Medium,49.7,Fail
278,Female,19,2,8,82,7,49,No,Low,51.2,Average
279,Male,18,1,4,90,8,44,Yes,Low,42.6,Fail
280,Female,19,2,5,79,4,85,Yes,Medium,67.7,Good
281,Female,17,8,6,71,9,65,No,High,84.3,Excellent
282,Female,19,5,5,82,8,60,No,Low,71.6,Good
283,Female,19,7,5,63,1,84,Yes,Medium,78.5,Good
284,Male,20,2,7,82,8,65,Yes,Medium,65.6,Good
285,Female,19,8,7,60,3,77,No,Low,83.8,Excellent
286,Male,19,6,6,84,5,83,No,Low,96.4,Excellent
287,Male,17,8,8,61,5,65,Yes,High,81.3,Excellent
288,Male,20,1,6,89,5,47,Yes,High,53.5,Average
289,Male,21,1,8,62,1,44,No,Low,46.2,Fail
290,Female,17,7,5,80,6,54,Yes,High,81.6,Excellent
291,Male,17,8,4,84,5,55,Yes,Medium,81.2,Excellent
292,Male,21,3,6,79,0,40,No,High,62.7,Average
293,Male,19,5,6,81,1,55,No,High,78.3,Good
294,Female,18,1,8,80,6,76,No,Medium,57.4,Average
295,Female,20,7,5,92,0,42,Yes,High,70.4,Good
296,Female,18,5,5,97,0,91,No,Medium,99.5,Excellent
297,Female,21,8,8,74,0,86,Yes,High,97.6,Excellent
298,Male,17,8,5,74,7,70,No,Low,81.2,Excellent
299,Male,17,9,7,84,3,52,No,High,90.0,Excellent
300,Female,20,7,4,80,3,55,Yes,Low,71.0,Good
301,Male,17,1,6,83,1,94,Yes,Low,60.5,Average
302,Male,17,3,4,64,0,82,No,Low,68.0,Good
303,Male,20,8,6,65,9,60,No,Low,81.5,Excellent
304,Female,20,3,7,82,8,41,Yes,Low,49.0,Fail
305,Female,21,8,5,63,6,93,No,Medium,94.1,Excellent
306,Male,17,1,8,86,3,66,Yes,Medium,52.2,Average
307,Female,17,5,7,77,5,77,Yes,Medium,68.9,Good
308,Female,21,4,4,80,1,65,No,Low,69.0,Good
309,Female,19,5,8,87,6,77,Yes,High,84.9,Excellent
310,Female,19,8,5,94,1,85,Yes,Medium,109.2,Excellent
311,Female,19,4,7,81,9,64,Yes,High,64.9,Average
312,Male,21,4,8,99,7,50,No,High,76.7,Good
313,Female,17,3,7,82,7,47,Yes,Low,67.4,Good
314,Male,21,7,7,62,0,47,No,Low,77.4,Good
315,Male,21,3,5,99,7,72,No,Low,77.5,Good
316,Female,19,3,6,69,1,92,No,Medium,77.5,Good
317,Male,18,5,8,84,5,46,Yes,Low,65.6,Good
318,Male,17,5,5,67,0,77,Yes,Medium,77.9,Good
319,Male,19,6,7,70,4,60,No,Medium,75.0,Good
320,Female,18,8,5,64,6,47,No,Medium,74.0,Good
321,Female,18,6,6,96,9,90,Yes,Medium,100.8,Excellent
322,Male,20,1,8,97,0,93,No,Low,78.3,Good
323,Female,17,8,6,88,1,60,No,Medium,98.4,Excellent
324,Female,18,8,4,64,6,59,Yes,Low,84.8,Excellent
325,Female,19,9,8,68,5,47,No,Low,88.2,Excellent
326,Female,20,9,6,61,2,85,Yes,Medium,87.3,Excellent
327,Male,17,2,7,60,9,70,Yes,Low,61.0,Average
328,Male,21,2,8,99,1,89,No,High,69.3,Good
329,Female,19,3,8,89,9,68,Yes,Low,60.9,Average
330,Female,18,1,5,70,3,87,Yes,Low,59.8,Average
331,Male,18,4,7,87,2,48,Yes,Medium,73.3,Good
332,Male,19,4,4,71,6,54,No,Medium,56.9,Average
333,Female,18,9,6,98,7,69,No,Low,98.0,Excellent
334,Male,20,9,5,85,1,65,No,Medium,99.5,Excellent
335,Female,17,9,6,72,9,49,Yes,High,78.2,Good
336,Female,20,7,4,67,6,68,Yes,High,84.3,Excellent
337,Male,18,2,4,87,7,93,No,Medium,75.3,Good
338,Male,21,5,8,89,5,55,No,Low,72.7,Good
339,Female,17,4,4,68,5,75,Yes,High,61.4,Average
340,Female,17,8,6,98,9,59,No,High,88.0,Excellent
341,Male,19,2,7,90,0,84,No,Low,67.6,Good
342,Female,19,6,7,80,3,93,No,Medium,84.2,Excellent
343,Male,21,5,8,93,0,76,No,High,84.3,Excellent
344,Female,17,2,6,90,3,61,No,Low,65.4,Good
345,Male,21,1,6,84,1,46,Yes,Low,45.6,Fail
346,Male,19,8,4,71,4,62,No,High,82.1,Excellent
347,Male,19,2,6,60,9,80,No,Medium,63.0,Average
348,Female,17,7,5,81,8,79,Yes,High,98.9,Excellent
349,Female,20,9,4,99,9,68,Yes,Low,104.9,Excellent
350,Male,18,9,5,96,2,55,Yes,High,97.8,Excellent
351,Female,19,8,8,60,7,77,Yes,Medium,78.8,Good
352,Male,19,9,7,60,2,67,No,Low,97.8,Excellent
353,Male,20,2,8,80,5,87,No,Medium,58.8,Average
354,Female,20,6,7,74,3,77,No,High,76.0,Good
355,Female,21,4,8,76,7,70,No,High,69.8,Good
356,Male,21,4,6,81,5,53,Yes,Medium,57.5,Average
357,Female,18,5,5,97,7,92,Yes,High,99.9,Excellent
358,Female,18,3,7,94,0,72,No,Medium,70.0,Good
359,Male,17,1,4,75,5,48,No,High,38.7,Fail
360,Male,21,8,5,67,0,66,No,Medium,81.5,Excellent
361,Female,19,5,4,76,0,63,No,Medium,68.0,Good
362,Male,21,3,5,76,7,52,Yes,Low,59.6,Average
363,Male,19,7,5,85,6,65,No,Low,76.5,Good
364,Female,20,7,8,72,2,68,Yes,Medium,88.8,Excellent
365,Male,21,1,7,76,5,90,Yes,High,57.8,Average
366,Male,20,9,7,97,8,88,Yes,High,107.3,Excellent
367,Female,18,2,5,76,6,82,Yes,High,64.6,Average
368,Female,18,5,6,73,2,67,No,Medium,75.7,Good
369,Male,17,5,6,65,5,67,No,Medium,75.3,Good
370,Male,21,8,4,94,3,47,No,Medium,88.0,Excellent
371,Female,20,8,4,73,2,62,No,Medium,80.7,Excellent
372,Female,19,7,8,67,8,68,Yes,Low,76.3,Good
373,Female,18,7,5,74,9,44,Yes,Medium,81.8,Excellent
374,Female,18,6,4,86,1,81,Yes,High,89.2,Excellent
375,Male,19,6,4,72,0,46,No,Low,62.0,Average
376,Female,20,9,5,90,1,81,Yes,High,100.4,Excellent
377,Female,20,6,8,94,6,75,Yes,Medium,94.2,Excellent
378,Male,21,2,4,65,9,80,Yes,Low,69.5,Good
379,Female,21,2,8,64,0,66,Yes,Medium,62.6,Average
380,Male,17,5,7,81,5,85,No,Low,73.3,Good
381,Female,18,4,8,82,6,41,Yes,High,55.0,Average
382,Female,21,2,6,84,8,64,Yes,Medium,51.8,Average
383,Female,20,3,6,93,7,48,No,Medium,52.1,Average
384,Male,19,7,8,85,5,92,No,Low,93.3,Excellent
385,Male,20,8,6,64,2,66,No,Low,85.6,Excellent
386,Female,18,6,7,85,7,40,Yes,Medium,71.5,Good
387,Male,20,5,5,79,6,62,Yes,Low,80.5,Excellent
388,Male,17,1,6,65,2,49,Yes,Medium,50.1,Average
389,Male,18,8,6,65,8,81,Yes,Low,82.9,Excellent
390,Male,19,3,8,77,1,91,No,High,70.5,Good
391,Male,17,6,7,63,2,64,Yes,Low,70.5,Good
392,Male,18,3,5,76,1,93,Yes,High,74.0,Good
393,Female,19,7,8,73,0,42,No,Low,65.7,Good
394,Female,17,7,8,73,3,45,No,Low,75.9,Good
395,Male,17,9,7,72,4,45,No,Medium,76.6,Good
396,Female,18,5,5,66,5,92,Yes,Low,81.6,Excellent
397,Female,21,8,7,74,4,41,Yes,Low,79.6,Good
398,Female,17,8,5,78,0,57,Yes,High,79.2,Good
399,Female,17,1,7,94,2,62,Yes,Low,63.0,Average
400,Male,19,5,8,76,0,41,Yes,Medium,73.2,Good
401,Female,20,3,8,94,4,51,No,High,70.6,Good
402,Female,18,1,4,78,4,61,No,Medium,45.8,Fail
403,Male,18,4,6,79,5,76,Yes,Medium,69.1,Good
404,Male,21,8,7,95,7,59,Yes,Medium,96.1,Excellent
405,Female,21,3,4,94,9,78,Yes,Medium,64.4,Average
406,Female,18,2,6,91,0,63,Yes,High,54.5,Average
407,Female,21,9,7,99,3,87,Yes,Low,103.5,Excellent
408,Female,19,5,5,83,9,59,No,Medium,79.5,Good
409,Female,18,7,6,76,0,40,No,High,76.8,Good
410,Female,21,2,8,66,8,40,No,Medium,43.8,Fail
411,Male,18,9,4,60,6,56,Yes,Low,77.4,Good
412,Female,20,9,6,94,6,40,Yes,High,91.2,Excellent
413,Female,17,4,6,91,4,92,No,High,76.1,Good
414,Male,18,4,8,95,6,91,No,Low,84.9,Excellent
415,Male,17,6,7,72,1,84,Yes,High,76.2,Good
416,Male,21,6,5,65,3,69,No,Low,81.1,Excellent
417,Male,17,1,8,73,6,80,No,High,60.9,Average
418,Female,18,9,5,96,2,86,Yes,High,116.2,Excellent
419,Female,20,2,7,74,1,42,No,Low,54.0,Average
420,Female,21,5,6,63,9,85,No,Low,84.9,Excellent
421,Female,18,9,5,99,1,94,No,High,108.3,Excellent
422,Female,21,4,4,75,0,50,Yes,High,64.5,Average
423,Female,19,3,4,87,4,63,No,Low,59.3,Average
424,Male,17,7,8,75,5,61,No,Low,79.9,Good
425,Female,19,6,7,63,5,83,No,High,81.1,Excellent
426,Male,18,8,8,85,8,84,Yes,High,97.1,Excellent
427,Male,20,3,8,87,3,65,Yes,High,63.1,Average
428,Female,21,5,8,91,0,52,No,Low,77.1,Good
429,Male,17,4,4,61,5,40,Yes,High,51.3,Average
430,Female,21,4,4,90,4,63,No,Medium,80.2,Excellent
431,Male,18,4,8,62,9,49,Yes,Low,58.2,Average
432,Female,21,8,4,67,5,74,Yes,High,83.7,Excellent
433,Male,17,6,7,83,2,63,No,Low,71.1,Good
434,Female,18,3,8,74,1,67,No,Medium,63.0,Average
435,Female,21,5,4,90,5,75,No,Low,87.0,Excellent
436,Female,20,6,5,68,0,55,Yes,High,74.4,Good
437,Female,18,5,8,98,6,79,No,Medium,83.0,Excellent
438,Female,18,6,8,61,6,55,Yes,Medium,68.3,Good
439,Male,20,8,7,67,9,56,Yes,High,82.5,Excellent
440,Male,19,7,6,66,6,90,No,High,90.8,Excellent
441,Male,17,5,6,98,9,93,Yes,High,96.6,Excellent
442,Female,19,6,7,75,0,54,No,Low,73.1,Good
443,Male,21,4,7,94,3,55,Yes,Low,71.2,Good
444,Female,20,9,7,89,6,54,No,Low,88.3,Excellent
445,Female,19,4,6,69,8,73,Yes,High,70.9,Good
446,Male,18,1,7,97,4,50,Yes,High,53.1,Average
447,Male,21,7,4,77,1,40,No,Low,81.1,Excellent
448,Female,21,7,8,64,6,54,Yes,Medium,82.8,Excellent
